"","postalcode","formal.address","location.lat","location.lng","bounds.northeast.lat","bounds.northeast.lng","bounds.southwest.lat","bounds.southwest.lng"
"1","","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"2","1000","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"3","1000JJ","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"4","1001ND","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"5","1012PV","Hoogstraat 110, 3011 PV Rotterdam, Netherlands",51.9211,4.4893,NA,NA,NA,NA
"6","1013BX",NA,51.9282,4.444,NA,NA,NA,NA
"7","1013BZ",NA,51.9282,4.444,NA,NA,NA,NA
"8","1013CM","1013 CM Amsterdam, Netherlands",52.39,4.8803,52.3914,4.8823,52.3886,4.8785
"9","1013DJ",NA,51.9282,4.444,NA,NA,NA,NA
"10","1013LC",NA,51.9282,4.444,NA,NA,NA,NA
"11","1013LV","1013 LV Amsterdam, Netherlands",52.386,4.8854,52.3871,4.8865,52.3844,4.8844
"12","1017JH",NA,51.8792,4.4486,NA,NA,NA,NA
"13","1018KP",NA,51.9282,4.444,NA,NA,NA,NA
"14","1018KW","1018 KW Amsterdam, Netherlands",52.3713,4.921,52.3723,4.9221,52.3709,4.9202
"15","1018RG","1018 RG Amsterdam, Netherlands",52.3688,4.9288,52.3706,4.9301,52.3679,4.9263
"16","1019MJ","1019 MJ Amsterdam, Netherlands",52.3763,4.9402,52.3769,4.9412,52.3754,4.9377
"17","1019NC","1019 NC Amsterdam, Netherlands",52.3771,4.9481,52.3779,4.9497,52.3764,4.9461
"18","1025MR",NA,51.9282,4.444,NA,NA,NA,NA
"19","1025MS","1025 MS Amsterdam, Netherlands",52.4088,4.9315,52.4106,4.9337,52.4065,4.9287
"20","1025VP","1025 VP Amsterdam, Netherlands",52.3979,4.9305,52.3999,4.932,52.3972,4.9282
"21","1031BZ","1031 BZ Amsterdam, Netherlands",52.3899,4.9152,52.3912,4.9171,52.3885,4.9134
"22","1034NP","1034 NP Amsterdam, Netherlands",52.4115,4.924,52.4122,4.9242,52.4108,4.9223
"23","1054HP","1054 HP Amsterdam, Netherlands",52.3622,4.8729,52.3636,4.8741,52.3609,4.8719
"24","1054TH","1054 TH Amsterdam, Netherlands",52.359,4.8579,52.3602,4.8585,52.3589,4.8567
"25","1055HK","1055 HK Amsterdam, Netherlands",52.3793,4.8487,52.3806,4.8505,52.3779,4.8484
"26","1055NC","1055 NC Amsterdam, Netherlands",52.3824,4.8518,52.3832,4.8526,52.3818,4.8507
"27","1059CW","1059 CW Amsterdam, Netherlands",52.3512,4.8494,52.3526,4.8506,52.3499,4.8484
"28","1060RL","1060 RL Amsterdam, Netherlands",52.3513,4.7893,52.3524,4.7908,52.3496,4.7871
"29","1060RN","1060 RN Amsterdam, Netherlands",52.3496,4.787,52.3499,4.7871,52.3471,4.7817
"30","1061MC","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"31","1062HV","1062 HV Amsterdam, Netherlands",52.3493,4.84,52.3503,4.8402,52.3489,4.8383
"32","1065GH","1065 GH Amsterdam, Netherlands",52.3566,4.8222,52.3577,4.8249,52.355,4.8212
"33","1066MJ",NA,51.9282,4.444,NA,NA,NA,NA
"34","1066SN","1066 SN Amsterdam, Netherlands",52.3478,4.8039,52.3492,4.8052,52.3464,4.8017
"35","1068WB","1068 WB Amsterdam, Netherlands",52.354,4.8135,52.3554,4.8162,52.3527,4.8125
"36","1071CJ","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
"37","1073XM","1073 XM Amsterdam, Netherlands",52.3565,4.8948,52.3574,4.8962,52.356,4.8927
"38","1074CH","Rotterdam, Netherlands",51.9244,4.4777,51.9943,4.6013,51.8616,4.3795
