"","Evenement","Organisator","Entree Ja/Nee","Editie 1","Startdatum","Einddatum","Aantal dagen","Locatie/accomodatie","Binnen of Buiten","Imago","Bezoekers","Jaar"
"1","4XY8","PMJ","onbekend",2006,2010-11-12,2010-11-27,16,"Centrale Bibliotheek","binnen","Regionaal belang/kleinschalig",420,2010
"2","0NF6","TGJ","onbekend",2010,2010-05-07,2010-05-16,10,"De Doelen","onbekend","Nationaal belang/Parels",4180,2010
"3","YDBM","I28","onbekend",2006,2010-09-04,2010-09-11,2,"Diverse locaties in centrum / Zuiderpark","onbekend","Regionaal belang/kleinschalig",4000,2010
"4","PUUZ","04N","betaald",2012,2010-11-26,2010-11-27,2,"Unie (De) / LantarenVenster / Rotown / Watt","beide","Nationaal belang/Parels",2600,2010
"5","CXI9","TGJ","betaald",2010,2010-11-06,2010-11-06,1,"De Doelen","binnen","Regionaal belang/kleinschalig",1061,2010
"6","N4MK","YMS","onbekend",2007,2010-09-16,2010-09-19,4,"LantarenVenster","binnen","Nationaal belang/Parels",5000,2010
"7","7D6P","Q4J","onbekend",1993,2010-11-24,2010-11-27,4,"Luxor (nieuw) / Luxor Theater (oud)","binnen","Nationaal belang/Parels",15000,2010
"8","MLT9","OPQ","onbekend",2004,NA,NA,NA,NA,"onbekend","Onbekend",NA,2010
"9","MGWF","TAD","onbekend",2005,2010-05-20,2010-05-24,5,"Cinerama","binnen","Onbekend",4186,2010
"10","R2M2","WMH","onbekend",2010,NA,NA,NA,NA,"onbekend","Onbekend",8000,2010
"11","J0CD","Y8X","onbekend",2010,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",3040,2010
"12","MBTA","ME8","onbekend",2010,2010-09-03,2010-09-05,3,"Centraal Station / World Trade Center / Beursplein","buiten","Internationaal belang/Iconen",NA,2010
"13","XA2G","D0R","onbekend",1993,2010-08-08,2010-08-08,1,"Het Park bij de Euromast","onbekend","Nationaal belang/Parels",28000,2010
"14","NEZO","5GG","betaald",2003,2010-09-10,2011-10-02,48,"Rotterdamse Schouwburg","binnen","Nationaal belang/Parels",6000,2010
"15","90C8","YT7","onbekend",2010,2010-02-25,2010-06-28,4,"Luxor (nieuw) / Theater Walhalla","onbekend","Onbekend",2291,2010
"16","EOXH","0HT","onbekend",2006,NA,NA,NA,NA,"onbekend","Regionaal belang/kleinschalig",15000,2010
"17","7WU7","NMY","betaald",1993,2010-06-17,2010-06-27,11,"Museumpark","onbekend","Nationaal belang/Parels",28544,2010
"18","QNW3","4NG","onbekend",2009,2010-07-31,2010-08-01,2,"Vroesenpark","buiten","Regionaal belang/kleinschalig",4000,2010
"19","VD45","DN4","onbekend",1995,NA,NA,NA,NA,"onbekend","Nationaal belang/Parels",1e+05,2010
"20","HRED","5ZB","onbekend",2010,2010-10-30,2010-10-30,1,"Hilton Hotel","binnen","Regionaal belang/kleinschalig",1290,2010
"21","7IP7","7KJ","gedeeltelijk gratis",2002,2010-11-16,2010-11-21,6,"Kinderboerderij Hofje / Geboortewinkel / Gay Palace","binnen","Nationaal belang/Parels",1234,2010
"22","IKGL","2R2","gratis",2009,2010-09-17,2010-09-18,2,"Heemraadsplein","buiten","Nationaal belang/Parels",8000,2010
"23","XLLJ","KQH","onbekend",2000,2010-09-10,2010-09-12,3,"Witte de Withstraat","onbekend","Nationaal belang/Parels",30000,2010
"24","FRRA","OAR","betaald",2002,2010-10-09,2010-10-09,1,"Mauritsweg","binnen","Regionaal belang/kleinschalig",679,2010
"25","8X5N","ASC","onbekend",2004,NA,NA,NA,NA,"onbekend","Regionaal belang/kleinschalig",NA,2010
"26","N7S0","MF5","gratis",2010,2010-12-31,2011-01-01,2,"Erasmusbrug","buiten","Nationaal belang/Parels",7000,2010
"27","DDG5","UDU","onbekend",1994,2010-01-27,2010-02-07,12,"Rotterdamse Schouwburg / De Doelen / Theater Lantaren/Venster / Cinerama","onbekend","Internationaal belang/Iconen",353000,2010
"28","ASG0","UDU","onbekend",2009,2010-09-09,2010-09-09,1,"Schouwburgplein / Caf? Floor","beide","Regionaal belang/kleinschalig",500,2010
"29","VTO8","5NC","gedeeltelijk gratis",2009,NA,NA,NA,NA,"beide","Nationaal belang/Parels",1200,2010
"30","UPKA","2WV","onbekend",1993,2010-09-03,2010-09-05,3,"Leuvehaven","onbekend","Internationaal belang/Iconen",19000,2010
"31","QAPA","66J","onbekend",2003,2010-06-30,2010-07-01,2,"Lloyd Multiplein","onbekend","Onbekend",NA,2010
"32","2J7B","ZPW","betaald",2014,2010-10-02,2010-10-02,1,"Rotterdamse Schouwburg","beide","Nationaal belang/Parels",450,2010
"33","U4BR","Z4Z","onbekend",1995,NA,NA,NA,NA,"onbekend","Onbekend",NA,2010
"34","WOB6","N6A","gratis",2005,NA,NA,NA,NA,"onbekend","Internationaal belang/Iconen",22000,2010
"35","0RF0","93P","onbekend",1993,2010-07-04,2010-07-04,1,"Zuiderpark","onbekend","Onbekend",35000,2010
"36","FS6B","0A0","gratis",NA,2010-09-01,2010-10-17,45,"Afrikaanderplein / Noordplein / LantarenVenster / Binnenrotte","buiten","Regionaal belang/kleinschalig",6000,2010
"37","6MVO","2R7","betaald",2007,2010-06-05,2010-06-05,1,"Sidelinge park (overschie)","buiten","n.v.t.",9500,2010
"38","2L0V","OPQ","onbekend",2009,NA,NA,NA,NA,"onbekend","Internationaal belang/Iconen",4000,2010
"39","KC2R","9G1","onbekend",2006,NA,NA,NA,NA,"onbekend","Regionaal belang/kleinschalig",64285,2010
"40","VGR1","QUB","gedeeltelijk gratis",2010,2010-12-17,2010-12-19,3,"Dek 22 / WMDC / Machinist","beide","Nationaal belang/Parels",1000,2010
"41","9ANR","3ED","onbekend",2007,NA,NA,NA,NA,"onbekend","Onbekend",NA,2010
"42","N9BB","ME8","onbekend",2010,2010-07-11,2010-07-11,1,"Binnenrotte","buiten","Nationaal belang/Parels",17500,2010
"43","CX4T","QOA","onbekend",2002,2010-08-25,2010-08-29,4,"Veerhaven","buiten","Nationaal belang/Parels",5000,2010
"44","G1GM","7SM","onbekend",2002,2010-04-08,2010-04-11,4,"Schouwburgplein","onbekend","Regionaal belang/kleinschalig",10000,2010
"45","SCPQ","KQH","gratis",1996,2010-08-18,2010-08-29,12,"Lloyd Multiplein","buiten","Regionaal belang/kleinschalig",1700,2010
"46","XMTR","7EJ","onbekend",2009,2010-05-01,2010-05-15,15,"Schouwburgplein / Rotterdamse Schouwburg / Luxor Theater (oud)","beide","Onbekend",11000,2010
"47","ZBP5","6RH","gedeeltelijk gratis",1998,2010-09-02,2010-09-10,9,"Museum Boijmans Van Beuningen / Nederlands Foto Instituut","buiten","Nationaal belang/Parels",18339,2010
"48","2D64","Y61","onbekend",2000,NA,NA,NA,NA,"buiten","Onbekend",5000,2010
"49","V1YU","5PE","gratis",2010,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",8500,2010
"50","TX3L","0F0","gratis",2000,NA,NA,NA,NA,"buiten","Nationaal belang/Parels",3000,2010
"51","KMZB","ONS","onbekend",2003,2010-03-06,2010-03-06,1,"Nederlands Architectuurinstituut / Museum Boijmans Van Beuningen / Nederlands Foto Instituut / Kunsthal / Centrum Beeldende Kunst / Historisch Museum / Chabot Museum / Museumpark / Wereldmuseum","beide","Nationaal belang/Parels",14870,2010
"52","RDGV","9HB","onbekend",2008,2010-06-04,2010-06-13,10,"De Doelen / Laurenskerk","onbekend","Onbekend",3385,2010
"53","TGT1","29Z","gratis",2002,2010-11-13,2010-11-13,1,"Willemsplein","route","Regionaal belang/kleinschalig",15000,2010
"54","RQOF","S7Z","gedeeltelijk gratis",NA,2010-07-02,2010-07-02,1,"LantarenVenster","binnen","Regionaal belang/kleinschalig",500,2010
"55","GA4D","S8S","gedeeltelijk gratis",2010,2010-07-16,2010-07-18,3,"Schouwburgplein / De Doelen / Centrum Beeldende Kunst","beide","Regionaal belang/kleinschalig",1500,2010
"56","8KK2","VUL","onbekend",2010,2010-06-04,2010-06-04,1,"Luxor (nieuw)","binnen","Nationaal belang/Parels",NA,2010
"57","3GIY","8UA","onbekend",2010,2010-10-11,2010-10-24,14,"Schouwburgplein","buiten","Regionaal belang/kleinschalig",30000,2010
"58","MVSG","NM8","gratis",2010,2010-06-13,2010-06-13,1,"Kunsthal","buiten","Regionaal belang/kleinschalig",250,2010
"59","X96V","6YS","onbekend",2007,NA,NA,NA,NA,"onbekend","Onbekend",23030,2010
"60","TM22","J7S","onbekend",2009,2010-05-01,2010-05-01,1,"De Doelen","onbekend","Onbekend",8155,2010
"61","SAEV","Y64","gratis",2001,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",51500,2010
"62","R7Z8","KRI","onbekend",1993,2010-09-03,2010-09-05,3,"Wilhelminakade","onbekend","Onbekend",4e+05,2010
"63","WZC7","66C","onbekend",NA,NA,NA,NA,NA,"onbekend","Internationaal belang/Iconen",NA,2010
"64","50D9","OK7","gedeeltelijk gratis",2010,2010-10-30,2010-11-07,9,"LantarenVenster","binnen","Regionaal belang/kleinschalig",3500,2010
"65","RBH5","TKV","onbekend",2010,2010-01-13,2010-01-15,3,"Schouwburg","onbekend","Onbekend",1426,2010
"66","WLCO","4V3","onbekend",1993,NA,NA,NA,NA,"onbekend","Internationaal belang/Iconen",7e+05,2010
"67","KEUP","XMW","onbekend",2001,2010-06-13,2010-07-18,36,"Het Park bij de Euromast","onbekend","Regionaal belang/kleinschalig",12500,2010
"68","6HHA","6M5","betaald",2011,2011-01-01,2012-01-01,2,"Havengebieden","buiten","Regionaal belang/kleinschalig",500,2011
"69","E7U9","4EO","gedeeltelijk gratis",2011,2011-07-02,2011-07-02,1,"Stadion Feijenoord / De Kuip / Zuiderpark","route","Regionaal belang/kleinschalig",10000,2011
"70","USRY","ULX","betaald",2011,2011-06-04,2011-08-13,2,"Hoek van Holland strand","beide","Regionaal belang/kleinschalig",5000,2011
"71","9UJX","BJG","gedeeltelijk gratis",2011,2011-05-14,2011-05-24,2,"Katendrecht","beide","n.v.t.",1500,2011
"72","PZEM","FJA","gratis",2011,NA,NA,NA,NA,"beide","Regionaal belang/kleinschalig",2635,2011
"73","RV45","DGO","gratis",2011,2011-03-25,2011-04-01,8,"Schouwburgplein","buiten","Nationaal belang/Parels",NA,2011
"74","LULA","NKE","gedeeltelijk gratis",1995,2011-04-10,2011-04-10,1,"Coolsingel","route","Internationaal belang/Iconen",106000,2011
"75","AP76","6MT","betaald",2011,2011-02-07,2011-02-13,7,"Ahoy","binnen","Nationaal belang/Parels",106000,2011
"76","LWCU","5Y2","gedeeltelijk gratis",2011,2011-06-12,2011-06-19,2,"Wilhelminakade","route","Nationaal belang/Parels",15000,2011
"77","JD0H","5BU","betaald",2000,2011-10-06,2011-10-09,4,"Nederlands Foto Instituut / LantarenVenster / Wilhelminapier","beide","n.v.t.",4100,2011
"78","LRO9","8AJ","gedeeltelijk gratis",2000,2011-02-09,2011-02-13,5,"Las Palmas / HAL Cruiseterminal","binnen","Nationaal belang/Parels",21200,2011
"79","YDBM","I28","gratis",2006,2011-05-07,2011-09-24,3,"Zuiderpark","buiten","Regionaal belang/kleinschalig",NA,2011
"80","NZF1","H72","gedeeltelijk gratis",2007,2010-08-22,2011-08-21,2,"Blaak / Coolsingel / Willemsbrug","buiten","Internationaal belang/Iconen",550000,2011
"81","9GMI","E8J","onbekend",2011,2011-05-08,2011-05-08,1,"Stadion Feijenoord / De Kuip","binnen","n.v.t.",50000,2011
"82","DGHA","GVY","gratis",2011,2011-05-05,2011-05-05,1,"Parklaan","buiten","Regionaal belang/kleinschalig",35000,2011
"83","E5XE","1AC","betaald",2011,2011-10-14,2011-10-15,2,"Hofbogen","binnen","Regionaal belang/kleinschalig",1001,2011
"84","4SBI","QK6","gratis",2011,2011-09-25,2011-09-25,1,"Nieuwe Oogst","binnen","Regionaal belang/kleinschalig",650,2011
"85","58IN","YK6","gratis",2011,2011-12-18,2011-12-18,1,"Wilhelminakade","buiten","Regionaal belang/kleinschalig",10000,2011
"86","PUUZ","SDN","gratis",2012,2011-11-17,2011-11-19,3,"Unie (De) / Eendrachtsplein / Rotown / Maassilo / WORM / De Gouvernestraat","buiten","Nationaal belang/Parels",3800,2011
"87","7UUS","Q4J","betaald",1993,2011-11-23,2011-11-26,4,"Unie (De) / Luxor (nieuw) / Zuidplein / Theater Zuidplein / Luxor Theater (oud) / Hoek van Holland / Hofplein / WMDC / Theater Walhalla","binnen","Nationaal belang/Parels",12000,2011
"88","N4MK","YMS","gedeeltelijk gratis",2007,2011-09-16,2011-09-25,6,"Unie (De) / LantarenVenster","binnen","Nationaal belang/Parels",3800,2011
"89","MLT9","KVD","gedeeltelijk gratis",2004,2011-07-14,2011-07-17,4,"Sidelinge park (overschie) / Sidelingepark","beide","Nationaal belang/Parels",15000,2011
"90","SWQM","DK7","gratis",2000,2011-02-03,2011-02-03,1,"Park naast Watt","beide","Regionaal belang/kleinschalig",6000,2011
"91","XA9C","S57","betaald",2011,2011-08-24,2011-10-30,8,"Kralingse Bos","buiten","Nationaal belang/Parels",55000,2011
"92","6ILM","7EJ","gedeeltelijk gratis",2009,2011-05-02,2011-05-08,6,"Schouwburgplein / Rotterdamse Schouwburg / Luxor (nieuw) / Luxor Theater (oud) / Codarts","beide","Nationaal belang/Parels",17812,2011
"93","HUE6","ZPW","gedeeltelijk gratis",2011,2011-08-17,2011-08-20,4,"Hofplein","buiten","Regionaal belang/kleinschalig",7500,2011
"94","O9EC","10K","onbekend",2011,2011-04-23,2011-09-29,23,"Wilhelminakade","buiten","n.v.t.",NA,2011
"95","EDZW","57B","betaald",2011,2011-08-05,2011-09-04,6,"Zevenhuizerplas","buiten","Regionaal belang/kleinschalig",2000,2011
"96","4ND7","8BR","gratis",1993,2011-07-29,2011-07-30,2,"Coolsingel / Boompjes","route","Internationaal belang/Iconen",NA,2011
"97","ZAVA","U9A","gratis",1994,2011-06-25,2011-06-25,1,"Schouwburgplein","buiten","Nationaal belang/Parels",5246,2011
"98","V62V","FSM","gratis",1993,2011-08-14,2011-08-14,1,"Het Park bij de Euromast","buiten","Nationaal belang/Parels",25000,2011
"99","NEZO","GQY","gedeeltelijk gratis",2003,2011-09-15,2011-10-02,18,"Rotterdamse Schouwburg / Tent","beide","Nationaal belang/Parels",5385,2011
"100","8XQV","7EG","gedeeltelijk gratis",2009,2011-09-03,2011-09-03,1,"Katendrecht / Deliplein","beide","Nationaal belang/Parels",4500,2011
"101","WKLR","SFW","betaald",2011,2011-05-29,2011-09-25,2,"Onderzeebootloods / RDM Werf","binnen","Regionaal belang/kleinschalig",30000,2011
"102","7WU7","NMY","gedeeltelijk gratis",1993,2011-06-16,2011-06-26,11,"Nederlands Architectuurinstituut / Museumpark","beide","Nationaal belang/Parels",23762,2011
"103","MN7A","YKQ","gratis",2011,2011-06-11,2011-06-11,1,"Parkkade","buiten","Regionaal belang/kleinschalig",2500,2011
"104","M1RJ","2CV","gratis",2011,2011-07-03,2012-07-01,2,"Delfshaven","buiten","Regionaal belang/kleinschalig",1200,2011
"105","69OE","B58","gedeeltelijk gratis",2011,2011-04-02,2011-04-03,2,"Schouwburgplein","beide","Internationaal belang/Iconen",250,2011
"106","QNW3","SH1","gratis",2009,2011-07-30,2011-08-07,4,"Vroesenpark","buiten","Regionaal belang/kleinschalig",4000,2011
"107","TY3X","QBI","gratis",1995,2011-05-29,2011-05-29,1,"Het Park bij de Euromast","buiten","Nationaal belang/Parels",225000,2011
"108","1FBM","UZD","onbekend",2011,2011-03-12,2011-03-13,2,"Topsportcentrum Rotterdam","binnen","Nationaal belang/Parels",NA,2011
"109","6ZVR","M0E","onbekend",2011,2011-10-16,2011-10-23,8,"Topsportcentrum Rotterdam","binnen","Nationaal belang/Parels",NA,2011
"110","O1CI","S57","betaald",2011,2011-08-17,2011-08-21,5,"Kralingse Bos","buiten","Internationaal belang/Iconen",60000,2011
"111","SHGN","9CQ","gedeeltelijk gratis",NA,2011-07-20,2011-07-24,5,"Witte de Withstraat / Schouwburgplein / Museum Boijmans Van Beuningen / Ahoy / LantarenVenster / Binnenrotte / Kralingse Bos / Museumpark / Grote Kerkplein / Groothandelsgebouw / Hilton Hotel","beide","Internationaal belang/Iconen",30000,2011
"112","F20T","ODZ","onbekend",NA,2011-01-30,2011-01-30,1,"Stadion Woudestein / Excelsior","binnen","n.v.t.",NA,2011
