Minutes;Hours;Percentage_Visits;N_Visits;Average_Time;01/Jul;02/Jul;03/Jul;04/Jul;05/Jul;06/Jul;07/Jul;08/Jul;09/Jul;10/Jul;11/Jul;12/Jul;13/Jul;14/Jul;15/Jul;16/Jul;17/Jul;18/Jul;19/Jul;20/Jul;21/Jul;22/Jul;23/Jul;24/Jul;25/Jul;26/Jul;27/Jul;28/Jul;29/Jul;30/Jul;31/Jul;01/Aug;02/Aug;03/Aug;04/Aug;05/Aug;06/Aug;07/Aug;08/Aug;09/Aug;10/Aug;11/Aug;12/Aug;13/Aug;14/Aug;15/Aug;16/Aug;17/Aug;18/Aug;19/Aug;20/Aug;21/Aug;22/Aug;23/Aug;24/Aug;25/Aug;26/Aug;27/Aug;28/Aug;29/Aug;30/Aug;31/Aug;01/Sep;02/Sep;03/Sep;04/Sep;05/Sep;06/Sep;07/Sep;08/Sep;09/Sep;10/Sep;11/Sep;12/Sep;13/Sep;14/Sep;15/Sep;16/Sep;17/Sep;18/Sep;19/Sep;20/Sep;21/Sep;22/Sep;23/Sep;24/Sep;25/Sep;26/Sep;27/Sep;28/Sep;29/Sep
00 - 30;0,5;48,00%;1.718.960;00:06:06;23754;17326;18813;23207;23035;22225;28799;24527;17637;19058;19316;16623;19995;20219;20631;15161;16557;18243;16402;18278;25130;20714;14746;15326;18756;18708;19098;23249;26618;15625;16222;19030;16404;17809;21817;19462;14687;15440;15774;18233;18649;22269;20659;15425;16317;17367;18921;17870;22310;20375;14246;18958;21224;19467;21739;20595;21419;15492;17359;19080;16444;21813;24347;21947;14741;15653;17483;17247;18461;18210;20210;14350;12597;16874;15100;15024;23423;18727;15378;16082;19480;19702;20202;24093;21542;14393;15546;17672;17647;18181;23996
30 - 60;1;7,40%;264.073;00:44:03;3785;2860;2906;3688;3309;3133;4253;4066;2962;2715;3166;2340;2842;2930;3283;2641;2423;3082;2436;2728;3729;3525;2491;2442;3081;2883;2683;3645;4548;2681;2590;3210;2574;2694;3422;3331;2541;2324;2539;2948;2906;3520;3379;2667;2505;2589;2927;2711;3494;3579;2457;2953;3413;2999;3104;3077;3600;2580;2625;3006;2345;2997;3427;3585;2411;2241;2564;2529;2556;2383;3152;2375;1607;2540;1983;1724;3285;2847;2509;1975;2794;2499;2791;3463;3811;2552;2189;2746;2550;2503;3620
60 - 90;1,5;5,40%;193.361;01:14:26;2876;2212;2064;2807;2460;2368;3123;2947;2205;1930;2326;1717;2013;2146;2539;2072;1798;2239;1687;2011;2683;2730;1907;1597;2251;2196;2108;2794;3673;1965;1808;2329;1922;2020;2560;2684;1868;1728;1835;2031;2015;2596;2465;1922;1834;1869;2081;1915;2563;2643;1891;2063;2421;2082;2348;2206;2689;2006;1796;2098;1594;2239;2503;2628;1787;1586;1735;1659;1771;1651;2306;1788;1098;1746;1358;1330;2368;2148;1935;1345;2054;1858;2101;2558;2871;1919;1548;1906;1799;1815;2625
90 - 120;2;4,40%;159.250;01:44:30;2420;1849;1774;2315;2062;2026;2517;2500;1855;1652;1899;1444;1736;1852;2060;1565;1448;1790;1372;1673;2307;2193;1613;1389;1934;1714;1679;2357;3254;1647;1516;1934;1519;1635;2092;2148;1617;1412;1588;1773;1780;2092;2145;1660;1463;1496;1747;1618;2021;2233;1608;1599;1950;1660;1725;1745;2195;1596;1378;1609;1318;1822;1971;2152;1427;1160;1382;1340;1458;1355;1943;1486;913;1369;1091;1058;1827;1771;1765;1171;1603;1460;1587;2160;2453;1691;1264;1654;1477;1501;2171
120 - 150;2,5;3,70%;131.572;02:14:30;1992;1566;1421;1829;1668;1621;2130;2098;1463;1251;1561;1198;1494;1459;1770;1362;1243;1495;1148;1380;1914;1831;1283;1141;1634;1408;1427;1952;2780;1362;1155;1580;1310;1359;1693;1780;1281;1142;1285;1498;1423;1752;1699;1281;1187;1207;1446;1346;1780;1782;1252;1332;1625;1361;1555;1434;1765;1260;1150;1329;1086;1574;1532;1745;1171;938;1058;1042;1240;1167;1638;1220;757;1121;892;910;1632;1525;1414;944;1357;1278;1392;1856;2054;1265;1058;1370;1318;1287;1801
150 - 180;3;3,10%;110.220;02:44:31;1658;1317;1174;1496;1414;1436;1806;1689;1142;1079;1351;1078;1244;1280;1432;1079;966;1173;873;1208;1602;1532;1145;967;1403;1243;1161;1672;2424;1042;1044;1261;1104;1199;1401;1394;1062;988;1080;1213;1162;1396;1390;1056;989;1131;1175;1094;1419;1479;966;1142;1386;1156;1270;1180;1438;1010;931;1089;940;1259;1305;1370;959;784;946;878;1027;992;1386;965;610;916;792;818;1428;1332;1069;843;1132;1168;1230;1524;1799;1162;903;1165;1159;1125;1543
180 - 210;3,5;3,00%;106.256;03:14:34;1598;1239;1151;1431;1375;1344;1623;1530;1118;1084;1265;994;1261;1221;1375;1015;930;1146;914;1143;1554;1361;995;932;1311;1254;1114;1608;2495;955;883;1192;1064;1156;1311;1302;963;915;1062;1266;1259;1389;1306;1054;922;1018;1160;1087;1334;1311;834;1113;1325;1130;1245;1124;1342;940;961;1083;907;1237;1297;1304;915;773;823;906;1089;1018;1308;860;690;939;783;727;1374;1267;1022;822;1141;1228;1239;1515;1656;1018;900;1164;1109;1181;1657
210 - 240;4;2,60%;94.076;03:44:34;1360;999;1022;1316;1177;1180;1479;1300;908;931;1186;849;1084;1060;1176;814;816;1016;812;1102;1347;1207;832;765;1156;1056;952;1405;2349;835;843;1056;868;1016;1230;1105;757;820;931;1077;1041;1198;1167;883;891;906;978;1030;1172;1131;764;1041;1200;972;1152;1038;1110;843;867;924;861;1196;1188;1185;915;700;813;792;961;901;1059;669;630;858;799;753;1215;1040;847;776;1057;1105;1130;1357;1401;848;823;1093;1062;1082;1458
240 - 270;4,5;2,30%;81.529;04:14:41;1173;728;914;1029;1099;1022;1279;1101;712;867;909;765;910;912;1028;644;766;866;718;916;1160;967;712;640;982;950;936;1239;1983;686;700;944;780;871;1044;964;658;762;730;928;979;1088;931;672;804;789;886;786;986;900;601;885;993;876;1014;898;991;652;776;847;744;1009;1039;1034;715;698;783;750;846;758;928;609;595;751;687;673;1116;944;662;720;957;974;1004;1332;1219;678;764;955;892;1070;1275
270 - 300;5;2,10%;73.873;04:44:34;1020;695;795;1017;911;946;1177;947;672;767;877;658;838;876;861;592;661;848;670;822;1058;893;591;668;905;871;795;1101;1737;561;623;825;712;843;898;820;583;697;702;885;803;967;780;612;721;745;781;762;886;821;545;773;907;863;967;782;818;591;787;782;735;971;927;862;596;650;737;726;835;745;805;505;573;742;591;647;1013;746;556;701;865;866;995;1028;1027;606;722;975;866;928;1221
300 - 330;5,5;1,90%;66.609;05:14:29;884;550;778;862;862;869;1016;796;568;691;746;643;831;741;839;486;600;747;561;734;911;793;556;561;681;768;823;1013;1502;513;518;716;621;702;850;714;515;544;675;766;812;896;688;542;641;689;653;657;795;764;510;764;889;799;834;733;724;540;668;719;626;905;823;774;521;638;687;656;737;623;666;471;486;610;564;596;965;684;550;641;810;804;873;1069;1005;517;688;1057;754;892;1054
330 - 360;6;1,60%;58.458;05:44:37;812;561;680;729;777;747;826;761;495;579;637;542;688;681;730;459;560;614;585;594;785;696;480;526;596;645;672;818;1297;467;483;627;525;611;722;581;409;510;498;635;638;787;526;514;585;633;648;564;658;641;432;699;677;626;730;652;650;490;576;666;553;764;808;691;425;506;598;546;654;623;621;379;468;592;530;511;865;629;476;668;710;735;845;985;828;441;610;903;726;789;947
360 - 390;6,5;1,40%;51.232;06:14:39;646;411;541;679;687;693;784;584;413;511;581;496;615;564;611;402;503;527;430;573;731;572;432;436;529;567;510;685;1017;414;480;514;457;500;625;515;360;426;461;573;588;656;575;364;502;500;533;460;584;525;414;639;629;599;697;503;557;379;562;654;498;665;684;607;388;607;538;504;665;518;565;341;449;526;475;504;758;526;387;600;648;661;741;846;730;396;583;675;634;693;845
390 - 420;7;1,30%;47.326;06:44:48;588;405;553;595;608;580;648;504;356;538;508;456;545;498;533;307;449;456;396;513;650;553;338;430;487;496;495;626;966;382;441;445;472;387;572;575;317;375;392;504;506;608;522;338;467;425;454;419;510;510;302;568;596;565;612;511;503;373;612;596;518;665;642;531;325;529;529;523;610;545;507;297;469;556;429;438;700;499;333;572;631;681;706;819;676;357;595;622;594;696;796
420 - 450;7,5;1,20%;43.133;07:14:44;533;303;530;594;572;595;642;492;332;450;476;395;480;506;500;288;415;453;417;480;523;498;268;348;409;410;475;583;745;295;392;432;415;388;513;441;292;341;391;423;469;523;465;314;365;411;460;382;476;452;272;544;498;496;560;445;487;317;531;568;469;604;587;475;256;484;573;477;517;513;446;229;441;549;405;461;619;434;291;540;602;661;719;677;623;299;549;648;554;612;749
450 - 480;8;1,10%;40.843;07:44:51;448;265;454;560;525;527;623;446;288;432;463;384;491;456;473;252;375;430;407;415;517;406;252;376;414;434;430;503;692;271;405;459;405;418;453;472;251;388;368;429;429;518;373;243;426;392;403;399;449;400;247;526;552;514;535;384;411;240;481;595;480;545;581;426;224;514;502;477;533;456;388;211;411;492;414;448;610;369;260;518;610;639;743;637;535;236;514;610;562;656;668
480 - 510;8,5;1,20%;41.779;08:15:12;438;256;515;602;569;521;602;453;228;530;507;490;535;441;432;222;449;433;442;517;561;405;222;411;499;476;441;544;611;248;448;464;392;452;499;340;226;452;454;411;463;514;371;217;472;468;454;444;464;349;211;513;550;548;569;399;396;240;530;553;433;584;498;409;216;487;523;514;522;418;365;201;418;535;406;461;596;378;251;637;642;650;750;652;494;244;553;561;556;654;708
510 - 540;9;1,20%;44.591;08:44:59;410;210;657;708;645;653;595;403;228;646;622;549;565;457;364;195;542;541;498;522;533;333;180;437;500;475;475;535;506;229;517;606;498;460;498;386;221;472;530;498;529;507;382;198;533;521;510;548;480;315;183;684;652;561;673;369;365;222;583;668;525;549;553;388;182;558;606;530;560;448;378;147;480;573;409;486;637;380;222;635;738;679;788;719;494;209;626;645;683;707;675
540 - 570;9,5;1,10%;39.066;09:14:26;386;175;569;606;571;546;553;324;186;534;550;494;498;418;338;120;426;542;433;518;531;294;167;429;500;442;372;480;453;191;388;506;395;484;446;306;179;454;450;446;475;437;279;160;440;465;432;415;421;336;143;525;577;498;595;352;318;155;468;587;456;546;499;355;137;477;535;481;553;427;274;118;444;477;345;427;531;338;172;608;602;661;679;531;444;176;612;638;560;591;594
