Minutes;Hours;Percentage_Visits;N_Visits;Average_Time;28/Sep;29/Sep;30/Sep;01/Oct;02/Oct;03/Oct;04/Oct;05/Oct;06/Oct;07/Oct;08/Oct;09/Oct;10/Oct;11/Oct;12/Oct;13/Oct;14/Oct;15/Oct;16/Oct;17/Oct;18/Oct;19/Oct;20/Oct;21/Oct;22/Oct;23/Oct;24/Oct;25/Oct;26/Oct;27/Oct;28/Oct;29/Oct;30/Oct;31/Oct;01/Nov;02/Nov;03/Nov;04/Nov;05/Nov;06/Nov;07/Nov;08/Nov;09/Nov;10/Nov;11/Nov;12/Nov;13/Nov;14/Nov;15/Nov;16/Nov;17/Nov;18/Nov;19/Nov;20/Nov;21/Nov;22/Nov;23/Nov;24/Nov;25/Nov;26/Nov;27/Nov;28/Nov;29/Nov;30/Nov;01/Dec;02/Dec;03/Dec;04/Dec;05/Dec;06/Dec;07/Dec;08/Dec;09/Dec;10/Dec;11/Dec;12/Dec;13/Dec;14/Dec;15/Dec;16/Dec;17/Dec;18/Dec;19/Dec;20/Dec;21/Dec;22/Dec;23/Dec;24/Dec;25/Dec;26/Dec;27/Dec
00 - 30;0,5;48,70%;1.740.915;00:01:20;18608;18402;24336;24570;11528;15560;16707;17763;20386;27540;24147;14947;14915;15981;17070;18198;21429;22110;18143;15726;16547;16074;20223;22701;21860;13972;15010;17272;18328;20160;25370;23773;14933;16308;16459;16361;18249;24311;25962;12191;15614;17637;16052;18697;24533;22566;14230;14215;18003;18018;18571;23019;22453;12450;16793;18736;18217;19833;29302;25153;16779;16557;18299;18005;20176;24691;22830;13987;16179;18068;17832;21507;24760;23270;14690;14916;18083;18276;20079;25028;24787;16793;15877;19618;21154;26177;26372;21069;8504;16294;22036
30 - 60;1;7,60%;270.352;00:44:00;2662;2360;3612;3785;1775;2057;2535;2442;2540;3684;3764;2848;2239;2621;2561;2612;3377;3819;3165;2465;2911;2452;2922;3652;3806;2554;2161;2895;2589;2630;3807;4371;2782;2475;2774;2197;2391;3383;3504;2114;2148;2728;2055;2465;3915;3789;2427;1894;2709;2633;2435;3412;3779;2005;2296;2968;2624;2636;4419;4381;2944;2302;3135;2838;2898;3888;4063;2551;2419;2982;2658;2916;3623;3732;2764;2187;2887;2723;2856;3777;4135;3119;2556;3511;3520;3865;4604;4138;1044;2483;4223
60 - 90;1,5;5,60%;199.871;01:14:28;1955;1736;2684;2850;1259;1444;1800;1739;1867;2592;2928;2232;1536;1876;1845;1868;2450;2866;2505;1781;2116;1859;2150;2689;2925;1993;1518;2006;1864;2041;2791;3321;2124;1744;1927;1666;1701;2378;2796;1517;1504;1934;1450;1847;2750;2834;2048;1398;1891;1978;1741;2529;2860;1592;1563;2191;1923;1962;3336;3331;2417;1603;2073;1948;2067;2824;3203;2041;1669;2063;1831;2212;2805;3005;2253;1559;2007;2011;2094;2795;3286;2447;1772;2464;2511;2840;3499;3151;687;1953;3180
90 - 120;2;4,70%;166.522;01:44:33;1564;1453;2141;2426;1135;1134;1467;1556;1596;2264;2559;1818;1290;1514;1520;1536;1992;2461;2092;1536;1734;1637;1932;2305;2388;1650;1278;1690;1591;1663;2244;2627;1805;1353;1625;1436;1440;2080;2388;1338;1327;1570;1193;1532;2360;2363;1646;1217;1569;1502;1516;2074;2465;1310;1399;1802;1615;1618;2836;2798;2021;1354;1745;1612;1665;2162;2554;1694;1426;1703;1522;1806;2173;2480;1817;1275;1735;1672;1724;2369;2750;2024;1471;2100;2016;2338;2903;2518;584;1696;2643
120 - 150;2,5;4,00%;143.156;02:14:34;1368;1224;1802;2022;1031;1037;1273;1252;1395;1949;2163;1564;1099;1264;1323;1434;1779;2033;1696;1278;1478;1469;1754;2176;2138;1409;1045;1358;1366;1535;2014;2263;1474;1248;1291;1255;1257;1758;2049;1188;1115;1306;1226;1328;1948;2003;1459;999;1399;1354;1360;1785;2113;1108;1229;1536;1333;1431;2487;2427;1812;1093;1509;1401;1524;1884;2178;1420;1135;1423;1325;1632;1892;2140;1618;1062;1351;1374;1523;1989;2364;1735;1217;1670;1766;1922;2381;2014;556;1486;2303
150 - 180;3;3,40%;121.882;02:44:38;1147;1096;1551;1691;792;818;1036;1080;1234;1644;1821;1272;912;1115;1122;1274;1596;1915;1455;1079;1225;1193;1487;1729;1789;1119;828;1097;1194;1308;1623;1916;1210;1033;1118;995;1044;1522;1670;1018;964;1143;1088;1176;1696;1795;1205;930;1221;1165;1254;1655;1745;931;1002;1305;1215;1300;1976;2064;1432;1016;1264;1317;1292;1701;1879;1145;935;1250;1108;1390;1643;1855;1354;923;1212;1208;1370;1655;2045;1514;1090;1353;1514;1614;1954;1565;525;1269;1892
180 - 210;3,5;2,90%;102.554;03:14:35;951;952;1342;1474;634;713;892;884;1003;1522;1499;1026;792;901;946;973;1184;1412;1171;955;1067;1092;1282;1399;1382;906;705;929;1035;1120;1458;1503;961;861;906;904;873;1210;1431;695;793;966;1001;1125;1467;1522;950;789;969;1002;1035;1293;1505;793;874;1155;1023;1100;1812;1676;1148;917;1050;1052;1099;1449;1495;949;887;962;991;1127;1322;1544;1027;794;1104;1239;1200;1498;1778;1303;898;1224;1241;1480;1682;1229;437;1109;1524
210 - 240;4;2,50%;88.563;03:44:34;798;832;1074;1188;508;676;744;800;900;1296;1208;864;723;791;863;934;1038;1223;934;773;961;929;1122;1360;1143;795;700;885;879;925;1187;1221;835;774;724;809;856;1129;1326;668;802;838;750;894;1193;1197;758;733;840;882;982;1227;1289;698;785;956;901;1056;1426;1508;888;751;931;863;1016;1228;1198;747;740;886;926;994;1237;1292;810;752;970;969;1118;1191;1536;971;789;1186;1124;1313;1368;980;420;939;1320
240 - 270;4,5;2,20%;77.094;04:14:39;738;752;963;1061;434;544;667;694;771;1107;1010;690;630;727;713;816;962;1004;772;726;837;818;1001;1185;1055;586;672;753;873;816;1054;1015;740;743;714;752;753;1087;1111;536;701;853;639;801;1157;1041;623;676;806;792;838;1058;1067;528;724;880;796;936;1323;1193;728;718;761;810;1003;1139;981;613;664;841;797;985;1058;1038;626;662;892;802;864;1124;1272;736;670;979;932;1072;1066;754;313;705;1175
270 - 300;5;1,90%;66.858;04:44:28;599;650;843;887;354;555;615;597;660;963;812;583;637;591;703;696;882;967;671;687;727;736;864;968;830;512;607;694;686;748;972;923;564;616;630;584;655;909;877;416;617;746;588;723;1054;920;497;560;729;726;750;955;870;493;635;761;741;810;1159;938;587;695;764;746;824;956;859;484;634;757;692;826;894;901;514;641;747;762;887;940;944;577;647;863;799;911;982;606;243;539;895
