Minutes;Hours;Percentage_Visits;N_Visits;Average_Time;28/Dec;29/Dec;30/Dec;31/Dec;01/Jan;02/Jan;03/Jan;04/Jan;05/Jan;06/Jan;07/Jan;08/Jan;09/Jan;10/Jan;11/Jan;12/Jan;13/Jan;14/Jan;15/Jan;16/Jan;17/Jan;18/Jan;19/Jan;20/Jan;21/Jan;22/Jan;23/Jan;24/Jan;25/Jan;26/Jan;27/Jan;28/Jan;29/Jan;30/Jan;31/Jan;01/Feb;02/Feb;03/Feb;04/Feb;05/Feb;06/Feb;07/Feb;08/Feb;09/Feb;10/Feb;11/Feb;12/Feb;13/Feb;14/Feb;15/Feb;16/Feb;17/Feb;18/Feb;19/Feb;20/Feb;21/Feb;22/Feb;23/Feb;24/Feb;25/Feb;26/Feb;27/Feb;28/Feb;01/Mar;02/Mar;03/Mar;04/Mar;05/Mar;06/Mar;07/Mar;08/Mar;09/Mar;10/Mar;11/Mar;12/Mar;13/Mar;14/Mar;15/Mar;16/Mar;17/Mar;18/Mar;19/Mar;20/Mar;21/Mar;22/Mar;23/Mar;24/Mar;25/Mar;26/Mar;27/Mar;28/Mar;29/Mar;30/Mar;31/Mar
00 - 30;0,5;49,20%;1.713.932;00:06:02;00:06:11;00:06:01;00:06:10;00:05:53;00:06:17;00:06:14;00:06:13;00:06:05;00:05:53;00:06:06;00:05:49;00:06:20;00:05:52;00:06:07;00:05:59;00:05:44;00:05:50;00:06:03;00:06:10;00:05:57;00:06:07;00:05:49;00:05:51;00:05:59;00:06:03;00:06:19;00:06:03;00:06:14;00:05:59;00:05:45;00:05:56;00:06:09;00:06:13;00:05:54;00:06:11;00:06:02;00:05:57;00:05:58;00:06:04;00:06:15;00:05:52;00:06:09;00:05:56;00:05:50;00:05:59;00:05:55;00:06:25;00:06:08;00:06:10;00:06:02;00:05:56;00:05:56;00:05:58;00:06:03;00:05:47;00:06:21;00:05:54;00:05:47;00:06:06;00:06:09;00:06:15;00:05:57;00:06:24;00:06:03;00:05:53;00:06:10;00:06:06;00:06:08;00:06:02;00:06:06;00:05:51;00:05:41;00:06:07;00:06:03;00:06:21;00:06:03;00:06:06;00:06:02;00:05:49;00:05:44;00:05:50;00:06:18;00:05:54;00:06:11;00:05:59;00:05:56;00:06:03;00:06:05;00:06:15;00:06:01;00:06:13;00:05:55;00:05:54;00:06:01
30 - 60;1;7,20%;250.110;00:44:02;00:43:56;00:44:16;00:44:05;00:44:20;00:43:48;00:44:19;00:44:12;00:44:10;00:44:08;00:44:18;00:44:22;00:44:22;00:43:42;00:43:50;00:43:54;00:43:58;00:44:05;00:44:16;00:44:07;00:43:31;00:43:58;00:43:57;00:43:54;00:44:28;00:44:02;00:44:23;00:43:40;00:44:11;00:43:33;00:44:05;00:43:51;00:43:53;00:44:08;00:43:40;00:43:53;00:43:54;00:43:37;00:44:11;00:44:14;00:44:28;00:43:35;00:43:45;00:43:26;00:43:59;00:43:46;00:43:58;00:44:23;00:43:19;00:44:10;00:44:05;00:43:59;00:44:15;00:44:08;00:44:30;00:44:12;00:43:46;00:43:58;00:43:54;00:44:02;00:44:17;00:44:21;00:44:04;00:44:21;00:44:01;00:44:02;00:43:57;00:44:24;00:44:06;00:43:44;00:44:15;00:43:52;00:44:19;00:44:00;00:44:13;00:44:12;00:44:06;00:43:57;00:43:50;00:43:47;00:43:53;00:44:23;00:44:09;00:43:54;00:44:10;00:44:07;00:43:52;00:43:54;00:44:07;00:44:19;00:44:02;00:44:03;00:43:53;00:43:43;00:43:46
60 - 90;1,5;5,30%;184.924;01:14:29;01:14:37;01:14:25;01:14:45;01:14:25;01:14:08;01:14:08;01:14:24;01:14:23;01:14:38;01:14:44;01:14:40;01:14:46;01:14:17;01:14:53;01:14:28;01:14:46;01:14:13;01:14:19;01:14:46;01:14:21;01:14:40;01:14:32;01:14:36;01:14:55;01:14:22;01:15:08;01:15:03;01:14:17;01:14:31;01:14:36;01:14:24;01:14:18;01:14:17;01:14:33;01:14:14;01:13:55;01:14:58;01:14:18;01:14:31;01:14:43;01:14:40;01:14:27;01:14:49;01:14:20;01:14:20;01:14:29;01:14:50;01:14:55;01:14:28;01:14:22;01:14:37;01:14:24;01:14:14;01:14:33;01:14:41;01:14:32;01:14:51;01:14:29;01:14:01;01:14:25;01:14:20;01:14:26;01:14:50;01:14:28;01:14:23;01:14:20;01:14:34;01:14:12;01:14:46;01:14:18;01:13:56;01:14:40;01:14:26;01:14:26;01:14:29;01:14:21;01:14:39;01:14:36;01:14:23;01:14:35;01:14:18;01:14:31;01:14:49;01:14:14;01:14:21;01:14:28;01:14:15;01:14:17;01:14:29;01:14:32;01:14:25;01:14:18;01:14:26;01:14:10
90 - 120;2;4,40%;151.576;01:44:32;01:44:52;01:44:31;01:44:44;01:44:41;01:44:14;01:44:39;01:44:38;01:44:28;01:44:10;01:44:11;01:44:11;01:44:41;01:44:17;01:44:14;01:44:26;01:44:19;01:44:26;01:44:20;01:44:10;01:44:51;01:44:16;01:44:58;01:44:33;01:44:53;01:44:31;01:44:16;01:44:27;01:44:31;01:44:35;01:44:49;01:44:31;01:44:36;01:44:26;01:44:37;01:44:23;01:44:49;01:44:36;01:44:28;01:44:34;01:45:06;01:43:56;01:44:57;01:44:26;01:44:38;01:44:46;01:44:39;01:44:40;01:44:43;01:44:52;01:44:28;01:44:33;01:44:42;01:44:44;01:44:51;01:44:22;01:44:35;01:44:45;01:44:29;01:44:21;01:44:31;01:44:45;01:44:33;01:44:54;01:44:37;01:44:28;01:44:24;01:44:07;01:44:30;01:44:29;01:44:32;01:44:48;01:44:44;01:44:52;01:44:19;01:44:33;01:44:14;01:44:30;01:44:17;01:44:36;01:44:41;01:44:21;01:44:35;01:44:21;01:44:23;01:44:23;01:44:54;01:44:56;01:44:39;01:44:13;01:44:26;01:44:14;01:44:40;01:44:20;01:44:28
120 - 150;2,5;3,70%;129.365;02:14:36;02:14:36;02:15:05;02:14:40;02:14:43;02:14:56;02:14:57;02:14:35;02:14:38;02:14:32;02:14:44;02:14:48;02:14:32;02:14:49;02:14:28;02:14:43;02:14:22;02:14:34;02:15:02;02:14:28;02:14:38;02:14:50;02:14:41;02:14:34;02:14:48;02:14:38;02:14:35;02:14:21;02:14:31;02:14:32;02:14:15;02:14:40;02:14:21;02:14:18;02:14:44;02:14:41;02:14:37;02:14:16;02:14:43;02:14:24;02:14:18;02:14:34;02:13:50;02:14:44;02:14:58;02:14:53;02:14:36;02:15:03;02:14:37;02:14:41;02:14:14;02:14:48;02:14:50;02:14:37;02:14:05;02:14:58;02:14:24;02:15:06;02:14:13;02:14:22;02:14:05;02:14:27;02:15:26;02:14:32;02:14:39;02:14:26;02:14:50;02:14:39;02:14:56;02:14:19;02:14:45;02:14:03;02:14:43;02:14:58;02:14:41;02:14:42;02:14:35;02:14:31;02:14:34;02:14:26;02:14:41;02:14:25;02:14:28;02:14:35;02:14:29;02:14:08;02:14:52;02:14:36;02:14:41;02:15:01;02:14:33;02:14:13;02:14:29;02:14:18;02:14:19
150 - 180;3;3,20%;110.138;02:44:33;02:44:19;02:44:49;02:44:18;02:44:05;02:44:45;02:44:28;02:44:25;02:44:20;02:44:36;02:44:31;02:44:30;02:44:37;02:44:23;02:45:05;02:44:33;02:44:36;02:44:23;02:44:19;02:44:29;02:44:32;02:44:33;02:44:19;02:44:38;02:44:38;02:44:22;02:44:30;02:44:36;02:44:20;02:44:38;02:44:31;02:44:32;02:44:23;02:44:40;02:44:36;02:44:37;02:44:55;02:44:34;02:44:39;02:44:09;02:43:49;02:44:32;02:44:40;02:45:02;02:44:38;02:44:31;02:44:22;02:44:27;02:44:57;02:44:26;02:45:08;02:44:11;02:44:25;02:44:40;02:44:47;02:44:39;02:44:27;02:44:12;02:44:25;02:44:56;02:44:38;02:44:14;02:44:21;02:44:18;02:44:28;02:44:40;02:44:45;02:44:20;02:45:01;02:44:48;02:43:55;02:44:42;02:44:56;02:44:46;02:44:29;02:44:43;02:44:33;02:44:16;02:44:20;02:44:16;02:44:17;02:44:36;02:44:04;02:44:51;02:43:44;02:44:59;02:44:28;02:44:49;02:44:43;02:44:37;02:44:41;02:44:58;02:45:08;02:44:29;02:44:41
180 - 210;3,5;3,00%;105.246;03:14:29;03:14:36;03:14:59;03:14:18;03:13:44;03:13:30;03:14:21;03:14:26;03:14:48;03:14:25;03:14:36;03:14:31;03:14:26;03:14:28;03:14:42;03:14:50;03:14:07;03:15:15;03:14:12;03:14:10;03:14:12;03:14:28;03:14:51;03:14:17;03:14:32;03:14:23;03:13:48;03:14:57;03:14:25;03:14:22;03:14:52;03:14:08;03:14:04;03:14:30;03:14:31;03:14:47;03:14:35;03:14:41;03:14:26;03:14:28;03:15:08;03:14:34;03:14:47;03:13:49;03:14:12;03:14:27;03:14:18;03:15:06;03:14:46;03:15:07;03:14:20;03:14:21;03:15:00;03:14:01;03:15:02;03:15:00;03:14:30;03:14:49;03:14:47;03:14:32;03:14:45;03:14:55;03:14:47;03:14:28;03:14:51;03:15:06;03:14:19;03:14:29;03:14:31;03:13:48;03:14:15;03:14:32;03:14:03;03:14:01;03:14:17;03:14:14;03:14:07;03:14:43;03:15:02;03:14:37;03:14:07;03:14:21;03:14:07;03:14:30;03:14:21;03:15:10;03:14:29;03:14:23;03:14:16;03:14:10;03:14:27;03:14:00;03:14:29;03:15:03;03:14:04
210 - 240;4;2,60%;91.527;03:44:35;03:44:18;03:44:51;03:44:27;03:44:33;03:45:01;03:44:50;03:44:33;03:44:36;03:44:15;03:44:38;03:44:52;03:44:26;03:44:46;03:44:03;03:44:51;03:44:27;03:44:15;03:44:13;03:44:20;03:44:40;03:44:35;03:44:35;03:44:54;03:44:26;03:44:09;03:44:47;03:43:45;03:44:55;03:44:48;03:44:19;03:44:11;03:44:42;03:44:46;03:44:25;03:45:27;03:44:11;03:45:11;03:44:17;03:44:34;03:44:25;03:44:14;03:44:20;03:45:05;03:44:32;03:44:29;03:44:46;03:43:36;03:44:39;03:44:43;03:45:06;03:44:22;03:44:42;03:44:37;03:44:18;03:44:33;03:44:46;03:44:24;03:45:02;03:44:37;03:45:09;03:44:50;03:43:35;03:44:54;03:43:45;03:44:58;03:44:18;03:44:44;03:44:30;03:44:50;03:44:20;03:44:55;03:44:35;03:44:55;03:44:06;03:44:44;03:44:36;03:44:20;03:44:56;03:44:39;03:44:32;03:44:14;03:44:13;03:44:51;03:44:33;03:44:42;03:45:11;03:44:25;03:44:40;03:44:45;03:45:00;03:44:32;03:44:56;03:45:02;03:44:08
240 - 270;4,5;2,30%;78.868;04:14:36;04:14:31;04:14:23;04:14:26;04:14:49;04:14:23;04:14:19;04:14:48;04:13:50;04:14:38;04:14:46;04:15:09;04:13:29;04:15:02;04:14:42;04:14:56;04:14:37;04:14:38;04:14:32;04:14:37;04:14:35;04:14:55;04:14:48;04:14:32;04:14:11;04:14:44;04:14:18;04:14:38;04:15:48;04:15:05;04:14:38;04:15:29;04:14:28;04:14:23;04:14:25;04:15:30;04:14:56;04:14:37;04:14:21;04:13:59;04:15:01;04:14:13;04:14:43;04:15:15;04:14:25;04:14:55;04:13:58;04:14:54;04:14:58;04:14:00;04:14:37;04:14:05;04:14:40;04:14:23;04:14:08;04:14:12;04:14:25;04:14:33;04:14:28;04:14:27;04:14:30;04:14:41;04:14:32;04:14:33;04:14:32;04:14:42;04:14:24;04:14:18;04:13:37;04:14:56;04:14:12;04:15:09;04:15:10;04:14:14;04:14:38;04:13:29;04:15:24;04:14:54;04:15:30;04:15:08;04:14:20;04:14:35;04:14:29;04:14:30;04:15:21;04:14:32;04:14:32;04:14:42;04:14:30;04:14:10;04:14:29;04:13:56;04:14:45;04:14:24;04:14:50
270 - 300;5;2,00%;70.606;04:44:35;04:45:05;04:44:28;04:44:18;04:44:17;04:45:11;04:44:30;04:44:25;04:45:12;04:44:46;04:44:14;04:44:11;04:45:15;04:44:39;04:44:42;04:44:38;04:44:32;04:44:49;04:44:33;04:44:27;04:44:24;04:44:48;04:44:36;04:44:53;04:45:04;04:44:46;04:44:29;04:44:04;04:44:39;04:44:27;04:44:11;04:44:47;04:43:53;04:43:50;04:44:07;04:44:46;04:44:07;04:44:21;04:45:05;04:44:32;04:44:53;04:43:30;04:44:38;04:44:55;04:44:52;04:44:33;04:44:10;04:44:12;04:44:55;04:44:47;04:44:42;04:44:15;04:44:26;04:44:38;04:44:22;04:45:37;04:44:26;04:44:36;04:44:46;04:44:58;04:44:35;04:43:34;04:44:26;04:44:39;04:44:42;04:44:20;04:43:46;04:44:27;04:44:34;04:44:47;04:44:30;04:44:40;04:44:52;04:44:22;04:44:15;04:45:15;04:44:48;04:45:02;04:45:07;04:45:08;04:44:28;04:44:33;04:44:32;04:44:38;04:44:14;04:44:34;04:45:17;04:44:42;04:44:50;04:45:06;04:44:05;04:44:23;04:45:03;04:44:14;04:44:55
