Minutes;Hours;Percentage_Visits;N_Visits;Average_Time;01/Apr;02/Apr;03/Apr;04/Apr;05/Apr;06/Apr;07/Apr;08/Apr;09/Apr;10/Apr;11/Apr;12/Apr;13/Apr;14/Apr;15/Apr;16/Apr;17/Apr;18/Apr;19/Apr;20/Apr;21/Apr;22/Apr;23/Apr;24/Apr;25/Apr;26/Apr;27/Apr;28/Apr;29/Apr;30/Apr;01/May;02/May;03/May;04/May;05/May;06/May;07/May;08/May;09/May;10/May;11/May;12/May;13/May;14/May;15/May;16/May;17/May;18/May;19/May;20/May;21/May;22/May;23/May;24/May;25/May;26/May;27/May;28/May;29/May;30/May;31/May;01/Jun;02/Jun;03/Jun;04/Jun;05/Jun;06/Jun;07/Jun;08/Jun;09/Jun;10/Jun;11/Jun;12/Jun;13/Jun;14/Jun;15/Jun;16/Jun;17/Jun;18/Jun;19/Jun;20/Jun;21/Jun;22/Jun;23/Jun;24/Jun;25/Jun;26/Jun;27/Jun;28/Jun;29/Jun;30/Jun
00 - 30;0,5;48,40%;1.830.123;00:06:05;00:06:01;00:06:04;00:06:06;00:06:19;00:06:02;00:05:56;00:05:55;00:06:05;00:05:46;00:06:14;00:06:13;00:05:56;00:05:54;00:06:03;00:06:11;00:05:57;00:06:28;00:06:10;00:06:05;00:05:59;00:05:59;00:06:00;00:06:23;00:06:06;00:06:21;00:05:46;00:06:23;00:06:13;00:06:07;00:06:15;00:06:13;00:06:06;00:06:12;00:06:09;00:06:14;00:06:08;00:06:07;00:06:15;00:06:19;00:06:08;00:06:00;00:06:06;00:06:19;00:06:14;00:06:14;00:06:21;00:06:01;00:06:02;00:06:09;00:05:58;00:06:06;00:06:01;00:06:11;00:06:02;00:05:53;00:06:08;00:06:01;00:06:09;00:06:05;00:06:13;00:06:04;00:05:47;00:05:55;00:05:59;00:06:10;00:06:12;00:06:04;00:05:55;00:05:50;00:05:49;00:05:57;00:06:07;00:05:52;00:05:56;00:05:46;00:05:58;00:05:59;00:05:57;00:06:12;00:06:00;00:06:04;00:06:01;00:05:54;00:05:57;00:06:07;00:06:18;00:06:14;00:06:22;00:06:05;00:05:57;00:05:55
30 - 60;1;7,30%;277.006;00:44:00;00:44:03;00:44:09;00:43:36;00:43:56;00:44:13;00:43:36;00:43:52;00:44:08;00:43:56;00:43:51;00:43:40;00:43:42;00:43:48;00:43:55;00:44:27;00:44:09;00:44:08;00:44:06;00:44:14;00:44:14;00:44:08;00:44:16;00:44:45;00:44:04;00:44:01;00:43:41;00:44:07;00:44:03;00:44:22;00:44:01;00:43:32;00:43:27;00:44:06;00:44:06;00:44:07;00:44:08;00:43:48;00:43:59;00:43:29;00:44:05;00:43:48;00:43:41;00:43:59;00:43:38;00:43:56;00:43:53;00:43:44;00:43:50;00:44:01;00:44:25;00:44:03;00:43:46;00:43:50;00:44:05;00:44:01;00:44:22;00:44:07;00:44:04;00:43:46;00:44:08;00:43:39;00:43:26;00:44:15;00:44:12;00:44:02;00:44:23;00:43:31;00:44:16;00:43:38;00:43:51;00:44:10;00:44:34;00:43:42;00:43:50;00:44:02;00:44:07;00:44:08;00:44:24;00:43:46;00:43:56;00:44:05;00:44:11;00:43:55;00:43:53;00:44:06;00:44:05;00:43:50;00:44:06;00:44:03;00:44:05;00:44:06
60 - 90;1,5;5,50%;206.069;01:14:27;01:14:16;01:14:34;01:14:27;01:14:42;01:14:16;01:14:54;01:14:32;01:14:45;01:14:45;01:14:45;01:14:26;01:13:58;01:14:37;01:14:32;01:14:28;01:14:41;01:14:26;01:14:28;01:14:23;01:14:58;01:14:12;01:14:52;01:14:11;01:14:31;01:14:22;01:14:32;01:14:34;01:14:26;01:14:27;01:14:20;01:14:27;01:14:25;01:14:18;01:14:56;01:14:29;01:14:46;01:14:00;01:14:23;01:14:29;01:14:20;01:14:34;01:14:32;01:14:08;01:14:24;01:14:30;01:14:21;01:14:21;01:14:40;01:14:30;01:14:20;01:14:39;01:14:33;01:14:24;01:14:34;01:14:41;01:14:12;01:14:18;01:14:31;01:14:14;01:14:00;01:14:19;01:14:26;01:14:20;01:14:27;01:14:21;01:14:34;01:14:14;01:14:40;01:14:26;01:14:42;01:14:37;01:14:19;01:14:32;01:14:18;01:14:38;01:14:39;01:14:26;01:14:25;01:14:18;01:14:38;01:14:01;01:14:41;01:14:11;01:14:15;01:14:17;01:14:42;01:14:19;01:14:24;01:14:15;01:14:28;01:14:04
90 - 120;2;4,40%;167.706;01:44:31;01:44:30;01:44:46;01:44:27;01:44:31;01:44:15;01:44:49;01:44:40;01:44:29;01:44:31;01:44:41;01:44:46;01:44:22;01:44:23;01:44:42;01:44:33;01:45:07;01:44:38;01:44:54;01:44:24;01:44:39;01:44:39;01:44:28;01:44:34;01:44:55;01:44:40;01:44:16;01:44:41;01:44:29;01:44:22;01:44:26;01:44:18;01:44:40;01:44:43;01:44:51;01:44:35;01:45:05;01:44:40;01:44:33;01:44:22;01:44:31;01:44:30;01:44:29;01:44:32;01:44:24;01:44:45;01:44:26;01:44:25;01:44:23;01:44:37;01:44:48;01:44:32;01:44:30;01:44:10;01:44:33;01:44:23;01:44:38;01:44:32;01:44:14;01:44:36;01:44:30;01:44:18;01:44:30;01:44:40;01:44:31;01:44:16;01:44:09;01:44:43;01:44:09;01:44:34;01:44:14;01:44:26;01:44:30;01:44:22;01:44:36;01:44:25;01:44:23;01:44:17;01:44:49;01:44:19;01:44:20;01:44:29;01:44:12;01:44:42;01:44:21;01:44:06;01:44:45;01:44:36;01:44:21;01:44:39;01:44:26;01:44:23
120 - 150;2,5;3,70%;139.961;02:14:31;02:14:38;02:14:27;02:14:41;02:14:41;02:14:58;02:14:33;02:14:32;02:14:42;02:14:46;02:14:43;02:14:29;02:14:46;02:14:14;02:14:23;02:14:58;02:14:16;02:14:24;02:13:56;02:15:05;02:14:46;02:14:14;02:14:29;02:14:25;02:15:14;02:14:29;02:14:38;02:14:43;02:14:38;02:14:44;02:14:27;02:14:48;02:14:22;02:14:21;02:14:26;02:14:12;02:14:21;02:14:45;02:14:40;02:14:22;02:14:34;02:14:56;02:14:28;02:14:24;02:14:24;02:14:52;02:14:43;02:14:18;02:14:27;02:14:35;02:14:33;02:14:41;02:15:01;02:14:33;02:14:43;02:14:36;02:14:30;02:14:21;02:14:26;02:14:06;02:14:07;02:14:36;02:14:24;02:14:50;02:14:39;02:14:26;02:14:23;02:14:19;02:14:29;02:14:13;02:14:08;02:14:21;02:14:33;02:14:07;02:14:01;02:14:28;02:14:46;02:14:30;02:14:41;02:14:03;02:14:23;02:14:27;02:14:43;02:14:53;02:14:36;02:14:34;02:14:32;02:14:03;02:14:13;02:14:33;02:14:37;02:14:30
150 - 180;3;3,10%;118.285;02:44:34;02:44:34;02:44:29;02:44:39;02:44:38;02:44:32;02:44:32;02:44:43;02:44:10;02:44:31;02:44:35;02:44:46;02:44:38;02:44:35;02:44:59;02:44:09;02:45:02;02:44:16;02:44:33;02:44:44;02:44:33;02:44:29;02:44:03;02:44:18;02:44:33;02:44:38;02:44:26;02:44:35;02:44:31;02:44:26;02:44:29;02:45:03;02:44:27;02:44:59;02:44:09;02:44:20;02:44:38;02:44:46;02:44:29;02:44:35;02:44:28;02:44:27;02:44:10;02:44:30;02:44:18;02:44:56;02:44:19;02:44:44;02:44:47;02:44:35;02:44:36;02:44:21;02:43:55;02:45:01;02:44:35;02:44:18;02:44:36;02:44:59;02:44:19;02:44:19;02:44:57;02:44:33;02:44:18;02:44:15;02:44:18;02:44:38;02:44:22;02:44:34;02:44:53;02:44:58;02:44:50;02:44:49;02:44:40;02:44:11;02:44:35;02:44:23;02:44:45;02:44:40;02:44:50;02:44:54;02:44:48;02:44:36;02:44:25;02:44:05;02:44:49;02:44:37;02:44:47;02:44:15;02:44:59;02:44:28;02:44:54;02:44:30
180 - 210;3,5;3,00%;114.392;03:14:30;03:14:01;03:14:55;03:15:05;03:14:28;03:15:07;03:14:08;03:14:46;03:14:29;03:14:31;03:14:24;03:14:42;03:14:42;03:14:45;03:14:18;03:14:11;03:14:04;03:13:54;03:14:38;03:14:43;03:15:12;03:14:42;03:14:20;03:14:08;03:14:41;03:14:30;03:14:57;03:14:47;03:14:08;03:14:15;03:14:32;03:14:20;03:14:13;03:14:21;03:14:55;03:14:44;03:14:07;03:14:39;03:13:39;03:14:15;03:14:25;03:14:31;03:14:47;03:14:51;03:14:34;03:14:44;03:14:29;03:14:55;03:14:34;03:14:41;03:14:35;03:14:51;03:14:15;03:14:36;03:14:52;03:14:39;03:14:16;03:13:58;03:14:34;03:14:12;03:14:30;03:14:38;03:14:33;03:14:39;03:14:41;03:13:52;03:14:11;03:15:15;03:14:18;03:14:44;03:14:32;03:14:27;03:13:59;03:14:20;03:14:23;03:14:21;03:14:49;03:14:42;03:14:04;03:14:53;03:14:06;03:14:40;03:14:13;03:14:34;03:14:22;03:14:39;03:13:46;03:14:51;03:14:16;03:14:16;03:14:36;03:14:39
210 - 240;4;2,70%;100.966;03:44:33;03:44:15;03:44:36;03:44:51;03:44:29;03:44:44;03:44:39;03:44:27;03:44:25;03:44:34;03:44:54;03:44:45;03:44:23;03:44:29;03:44:21;03:44:22;03:43:59;03:44:25;03:43:43;03:44:23;03:44:41;03:44:44;03:44:22;03:44:25;03:44:45;03:44:37;03:44:43;03:43:53;03:44:19;03:44:21;03:43:39;03:43:45;03:44:10;03:44:30;03:44:53;03:44:24;03:44:23;03:44:57;03:45:12;03:44:12;03:45:02;03:44:42;03:45:06;03:44:18;03:44:54;03:44:30;03:44:35;03:44:58;03:44:17;03:44:08;03:44:33;03:44:07;03:44:40;03:44:15;03:44:32;03:44:17;03:44:38;03:44:31;03:44:16;03:44:38;03:44:15;03:44:27;03:45:06;03:44:36;03:44:47;03:44:44;03:44:12;03:44:47;03:44:32;03:44:36;03:44:23;03:44:28;03:44:10;03:45:12;03:44:51;03:44:55;03:45:03;03:44:08;03:45:05;03:43:41;03:44:42;03:45:06;03:44:58;03:44:44;03:44:44;03:44:23;03:44:05;03:44:47;03:44:52;03:44:41;03:44:52;03:44:51
240 - 270;4,5;2,30%;86.546;04:14:38;04:14:30;04:14:15;04:14:10;04:15:12;04:14:25;04:14:29;04:14:55;04:14:32;04:14:28;04:15:04;04:14:28;04:14:26;04:14:39;04:14:45;04:14:29;04:14:53;04:14:12;04:15:09;04:15:06;04:15:03;04:14:39;04:14:13;04:13:47;04:14:32;04:14:59;04:14:34;04:15:10;04:14:15;04:14:28;04:14:12;04:14:14;04:14:30;04:14:21;04:15:08;04:14:23;04:15:00;04:14:22;04:14:24;04:14:37;04:15:04;04:14:28;04:14:47;04:14:13;04:14:54;04:14:19;04:14:25;04:14:45;04:15:20;04:14:46;04:14:32;04:15:22;04:14:53;04:14:53;04:15:04;04:14:53;04:14:39;04:14:36;04:14:34;04:14:20;04:14:10;04:14:53;04:14:18;04:14:48;04:14:36;04:14:31;04:14:10;04:14:52;04:15:33;04:14:33;04:14:47;04:14:41;04:13:42;04:14:35;04:15:03;04:14:39;04:14:16;04:14:59;04:14:25;04:13:46;04:15:10;04:14:33;04:14:45;04:15:26;04:14:30;04:13:59;04:14:34;04:14:40;04:14:45;04:14:37;04:14:32;04:14:40
270 - 300;5;2,10%;78.621;04:44:36;04:44:40;04:44:34;04:44:36;04:44:31;04:44:25;04:44:13;04:44:28;04:44:40;04:44:51;04:44:39;04:44:43;04:44:35;04:45:05;04:44:00;04:44:28;04:44:19;04:45:03;04:45:00;04:44:51;04:44:30;04:44:45;04:44:50;04:44:46;04:45:10;04:44:43;04:44:21;04:44:54;04:44:37;04:44:44;04:44:50;04:45:12;04:44:24;04:44:52;04:44:39;04:44:45;04:44:58;04:44:39;04:45:03;04:45:06;04:44:32;04:44:52;04:44:26;04:45:01;04:44:53;04:43:44;04:44:39;04:44:37;04:44:30;04:44:49;04:43:52;04:43:31;04:44:30;04:44:19;04:44:33;04:44:16;04:44:33;04:45:21;04:44:47;04:44:56;04:44:43;04:44:55;04:44:42;04:44:35;04:44:51;04:44:28;04:44:21;04:44:07;04:45:02;04:44:44;04:44:44;04:44:42;04:44:13;04:44:25;04:44:04;04:44:27;04:44:25;04:44:41;04:44:29;04:44:42;04:44:20;04:44:48;04:44:25;04:44:59;04:43:47;04:44:54;04:43:41;04:44:40;04:44:31;04:44:09;04:44:05;04:44:35
