Minutes;Hours;Percentage_Visits;N_Visits;Average_Time;01/Jul;02/Jul;03/Jul;04/Jul;05/Jul;06/Jul;07/Jul;08/Jul;09/Jul;10/Jul;11/Jul;12/Jul;13/Jul;14/Jul;15/Jul;16/Jul;17/Jul;18/Jul;19/Jul;20/Jul;21/Jul;22/Jul;23/Jul;24/Jul;25/Jul;26/Jul;27/Jul;28/Jul;29/Jul;30/Jul;31/Jul;01/Aug;02/Aug;03/Aug;04/Aug;05/Aug;06/Aug;07/Aug;08/Aug;09/Aug;10/Aug;11/Aug;12/Aug;13/Aug;14/Aug;15/Aug;16/Aug;17/Aug;18/Aug;19/Aug;20/Aug;21/Aug;22/Aug;23/Aug;24/Aug;25/Aug;26/Aug;27/Aug;28/Aug;29/Aug;30/Aug;31/Aug;01/Sep;02/Sep;03/Sep;04/Sep;05/Sep;06/Sep;07/Sep;08/Sep;09/Sep;10/Sep;11/Sep;12/Sep;13/Sep;14/Sep;15/Sep;16/Sep;17/Sep;18/Sep;19/Sep;20/Sep;21/Sep;22/Sep;23/Sep;24/Sep;25/Sep;26/Sep;27/Sep;28/Sep;29/Sep
00 - 30;0,5;48,00%;1.718.960;00:06:06;00:06:03;00:06:15;00:06:12;00:06:06;00:05:57;00:05:55;00:05:50;00:05:56;00:06:06;00:06:06;00:06:10;00:06:05;00:05:57;00:05:59;00:06:03;00:06:14;00:06:08;00:06:17;00:05:59;00:05:58;00:05:58;00:06:05;00:06:15;00:06:05;00:06:20;00:06:06;00:06:06;00:06:08;00:06:05;00:06:17;00:06:11;00:06:17;00:06:13;00:06:05;00:05:53;00:06:12;00:06:09;00:06:10;00:06:14;00:06:08;00:06:00;00:06:05;00:05:55;00:06:16;00:06:11;00:06:01;00:06:04;00:06:03;00:06:03;00:06:13;00:06:25;00:06:02;00:06:18;00:05:59;00:06:04;00:06:13;00:06:12;00:06:13;00:06:08;00:06:10;00:06:05;00:06:01;00:06:00;00:06:05;00:06:21;00:06:07;00:06:10;00:06:10;00:05:56;00:05:55;00:05:57;00:06:19;00:05:58;00:06:20;00:06:00;00:05:45;00:05:56;00:05:58;00:06:08;00:05:48;00:06:01;00:05:53;00:05:59;00:06:04;00:06:17;00:06:30;00:05:59;00:06:26;00:06:07;00:05:55;00:06:04
30 - 60;1;7,40%;264.073;00:44:03;00:44:03;00:44:04;00:44:03;00:44:18;00:44:01;00:44:05;00:44:06;00:44:27;00:44:01;00:44:07;00:44:28;00:44:04;00:44:19;00:44:08;00:44:19;00:44:06;00:44:00;00:44:05;00:43:55;00:44:02;00:44:07;00:44:23;00:43:59;00:43:58;00:44:03;00:44:03;00:44:03;00:43:56;00:44:20;00:44:20;00:44:00;00:43:50;00:44:19;00:44:01;00:44:02;00:44:15;00:43:51;00:43:49;00:44:11;00:44:03;00:44:00;00:43:47;00:44:22;00:44:31;00:44:04;00:43:53;00:44:01;00:44:10;00:44:14;00:43:52;00:43:57;00:44:14;00:44:11;00:43:54;00:43:50;00:43:48;00:43:46;00:44:26;00:43:59;00:43:35;00:44:09;00:44:01;00:44:11;00:44:06;00:44:27;00:43:53;00:43:32;00:43:48;00:43:49;00:44:01;00:43:52;00:44:05;00:43:55;00:43:42;00:43:49;00:44:00;00:44:08;00:44:09;00:44:04;00:44:03;00:43:46;00:43:52;00:44:10;00:43:48;00:44:14;00:44:23;00:43:52;00:43:47;00:43:48;00:43:45;00:44:13
60 - 90;1,5;5,40%;193.361;01:14:26;01:14:11;01:14:56;01:14:22;01:14:22;01:14:17;01:14:37;01:14:16;01:14:25;01:14:30;01:14:28;01:14:25;01:14:16;01:14:33;01:14:32;01:14:27;01:14:29;01:14:37;01:14:41;01:14:23;01:14:25;01:14:26;01:14:15;01:14:36;01:14:11;01:14:38;01:14:34;01:14:29;01:14:29;01:14:31;01:14:29;01:14:48;01:14:21;01:14:31;01:14:28;01:14:38;01:14:10;01:14:20;01:14:29;01:14:44;01:14:11;01:14:49;01:14:10;01:14:22;01:14:34;01:14:21;01:14:33;01:14:25;01:14:14;01:14:12;01:14:31;01:14:18;01:14:22;01:14:24;01:14:21;01:14:31;01:14:20;01:14:28;01:14:14;01:13:56;01:14:17;01:14:24;01:14:21;01:14:00;01:14:45;01:14:30;01:14:29;01:14:05;01:14:13;01:14:10;01:14:41;01:14:26;01:14:26;01:14:34;01:14:08;01:14:27;01:14:59;01:14:34;01:14:16;01:14:25;01:14:19;01:14:32;01:14:21;01:14:05;01:14:23;01:14:42;01:14:28;01:14:29;01:14:40;01:14:34;01:14:22;01:14:33
90 - 120;2;4,40%;159.250;01:44:30;01:44:28;01:44:35;01:44:23;01:44:27;01:44:30;01:44:29;01:44:30;01:44:41;01:44:24;01:44:18;01:44:29;01:44:34;01:45:07;01:44:36;01:44:40;01:44:38;01:44:29;01:44:21;01:44:36;01:44:41;01:44:46;01:44:35;01:44:05;01:44:30;01:44:29;01:44:35;01:44:33;01:44:29;01:44:33;01:44:28;01:44:29;01:44:26;01:44:39;01:44:41;01:44:27;01:44:38;01:44:29;01:43:56;01:44:24;01:44:31;01:44:40;01:44:33;01:44:37;01:44:40;01:44:23;01:44:07;01:44:34;01:44:33;01:44:31;01:44:15;01:44:42;01:44:25;01:44:22;01:44:38;01:44:17;01:44:18;01:44:37;01:44:25;01:45:01;01:44:36;01:44:43;01:44:41;01:44:47;01:44:23;01:44:22;01:44:43;01:44:26;01:44:21;01:44:06;01:44:28;01:44:38;01:43:58;01:44:35;01:44:17;01:44:13;01:44:41;01:44:33;01:44:20;01:44:53;01:44:43;01:44:26;01:44:34;01:44:27;01:44:10;01:44:17;01:44:29;01:44:15;01:44:41;01:44:26;01:44:50;01:44:34
120 - 150;2,5;3,70%;131.572;02:14:30;02:14:36;02:14:44;02:14:41;02:14:21;02:14:20;02:14:43;02:14:20;02:14:23;02:14:06;02:14:40;02:14:28;02:14:31;02:14:55;02:14:30;02:14:54;02:13:55;02:14:50;02:14:04;02:14:33;02:14:46;02:14:22;02:14:14;02:14:36;02:14:21;02:14:30;02:14:39;02:14:21;02:14:50;02:14:39;02:14:30;02:14:19;02:14:36;02:14:22;02:14:33;02:14:20;02:14:01;02:14:32;02:14:20;02:14:45;02:14:36;02:14:37;02:14:19;02:14:24;02:14:09;02:14:23;02:14:48;02:14:40;02:14:27;02:14:37;02:14:32;02:14:27;02:14:58;02:14:23;02:14:25;02:14:36;02:14:23;02:14:46;02:14:20;02:14:41;02:14:25;02:14:36;02:14:28;02:14:53;02:14:29;02:14:14;02:14:40;02:14:14;02:14:08;02:14:31;02:14:13;02:14:53;02:14:10;02:14:01;02:14:50;02:14:36;02:15:32;02:14:44;02:14:38;02:14:43;02:14:08;02:14:27;02:14:19;02:14:32;02:14:00;02:14:47;02:14:21;02:14:13;02:14:46;02:14:41;02:14:38;02:14:31
150 - 180;3;3,10%;110.220;02:44:31;02:44:16;02:44:18;02:44:45;02:45:06;02:44:33;02:44:43;02:44:18;02:44:24;02:44:31;02:44:15;02:43:55;02:44:13;02:44:15;02:44:28;02:44:19;02:44:17;02:44:48;02:44:35;02:44:42;02:44:24;02:44:28;02:44:00;02:44:25;02:44:03;02:44:48;02:44:22;02:44:48;02:44:45;02:44:36;02:44:45;02:44:22;02:44:42;02:44:37;02:44:30;02:44:30;02:44:11;02:44:09;02:44:40;02:44:52;02:44:18;02:44:50;02:44:53;02:44:20;02:44:17;02:44:31;02:44:33;02:44:14;02:44:37;02:44:39;02:44:22;02:44:40;02:44:28;02:44:44;02:44:31;02:44:29;02:44:33;02:44:30;02:44:12;02:44:26;02:44:24;02:44:02;02:44:46;02:44:35;02:44:37;02:44:07;02:45:11;02:44:29;02:44:05;02:44:39;02:44:42;02:44:58;02:44:27;02:44:36;02:44:29;02:44:41;02:44:54;02:44:08;02:44:50;02:44:28;02:44:20;02:44:45;02:44:43;02:44:36;02:44:34;02:44:38;02:44:24;02:44:27;02:44:53;02:44:16;02:44:58;02:44:38
180 - 210;3,5;3,00%;106.256;03:14:34;03:14:08;03:14:25;03:14:43;03:15:00;03:14:39;03:14:30;03:14:38;03:14:32;03:14:10;03:14:40;03:14:33;03:14:25;03:14:53;03:14:53;03:14:36;03:14:09;03:14:45;03:15:01;03:15:05;03:14:01;03:14:13;03:14:50;03:14:51;03:14:48;03:14:25;03:14:40;03:14:33;03:14:41;03:14:39;03:14:00;03:14:34;03:14:38;03:14:43;03:14:19;03:15:03;03:14:29;03:13:55;03:14:28;03:15:13;03:14:59;03:14:32;03:14:25;03:14:03;03:14:34;03:15:08;03:14:09;03:14:41;03:14:51;03:14:42;03:14:31;03:13:54;03:14:36;03:14:40;03:14:28;03:14:24;03:14:28;03:14:21;03:14:27;03:14:13;03:14:37;03:15:22;03:14:43;03:14:35;03:14:47;03:14:30;03:14:58;03:14:19;03:14:51;03:14:15;03:14:16;03:14:28;03:13:29;03:14:24;03:14:15;03:15:15;03:14:34;03:14:35;03:14:27;03:14:18;03:14:39;03:14:48;03:14:23;03:14:11;03:14:31;03:14:45;03:14:47;03:14:06;03:14:42;03:15:04;03:14:23;03:14:57
210 - 240;4;2,60%;94.076;03:44:34;03:44:45;03:44:12;03:44:14;03:44:12;03:44:37;03:45:10;03:44:33;03:44:05;03:44:14;03:44:47;03:44:44;03:44:58;03:44:08;03:44:34;03:44:00;03:44:10;03:44:39;03:44:52;03:44:22;03:44:21;03:44:01;03:44:24;03:44:34;03:44:56;03:44:14;03:44:50;03:45:10;03:44:31;03:44:46;03:44:24;03:44:06;03:44:21;03:44:15;03:44:35;03:44:26;03:44:11;03:44:30;03:44:22;03:44:27;03:44:47;03:44:17;03:44:23;03:44:23;03:44:42;03:44:13;03:44:48;03:45:14;03:44:26;03:44:30;03:44:20;03:44:14;03:44:36;03:44:17;03:44:38;03:45:18;03:43:47;03:44:52;03:44:42;03:44:09;03:44:24;03:44:58;03:44:19;03:44:29;03:44:33;03:45:09;03:44:57;03:44:40;03:44:55;03:45:17;03:44:53;03:44:01;03:44:30;03:45:01;03:44:13;03:44:51;03:44:35;03:44:57;03:44:44;03:44:55;03:44:45;03:44:16;03:45:15;03:44:59;03:44:18;03:44:47;03:44:35;03:44:31;03:45:07;03:44:20;03:44:35;03:44:21
240 - 270;4,5;2,30%;81.529;04:14:41;04:14:48;04:14:44;04:14:12;04:14:55;04:14:56;04:14:46;04:14:48;04:13:48;04:14:17;04:14:31;04:14:50;04:15:09;04:14:20;04:14:44;04:14:41;04:14:55;04:14:59;04:14:16;04:14:47;04:14:10;04:14:36;04:14:35;04:13:52;04:15:07;04:14:57;04:14:44;04:14:55;04:14:16;04:14:27;04:14:41;04:15:10;04:14:38;04:15:11;04:14:54;04:14:26;04:14:34;04:14:14;04:15:07;04:14:33;04:14:22;04:14:58;04:14:43;04:15:04;04:15:32;04:14:40;04:14:24;04:14:20;04:15:06;04:14:42;04:14:23;04:14:46;04:14:21;04:14:47;04:14:47;04:14:21;04:14:45;04:14:49;04:14:21;04:14:13;04:15:02;04:14:45;04:15:06;04:14:37;04:14:26;04:14:19;04:15:22;04:15:05;04:15:03;04:14:35;04:14:44;04:14:22;04:14:01;04:14:27;04:14:13;04:15:04;04:14:40;04:14:53;04:14:27;04:15:03;04:15:20;04:15:01;04:14:44;04:14:30;04:14:42;04:14:48;04:14:24;04:15:11;04:14:10;04:14:38;04:15:07;04:14:44
270 - 300;5;2,10%;73.873;04:44:34;04:44:49;04:44:54;04:45:06;04:44:38;04:44:41;04:45:08;04:44:50;04:44:41;04:44:16;04:44:28;04:44:06;04:44:12;04:44:20;04:44:19;04:44:06;04:44:14;04:44:02;04:44:26;04:44:32;04:44:36;04:44:38;04:44:25;04:44:41;04:44:36;04:44:23;04:44:23;04:44:06;04:44:47;04:44:36;04:45:19;04:45:00;04:45:07;04:44:16;04:44:40;04:44:26;04:45:02;04:44:43;04:44:42;04:44:17;04:44:57;04:45:11;04:45:00;04:44:22;04:44:33;04:44:45;04:44:27;04:44:57;04:44:21;04:44:04;04:44:27;04:44:06;04:43:30;04:44:45;04:44:23;04:44:08;04:44:50;04:45:31;04:44:30;04:44:51;04:45:19;04:44:14;04:44:56;04:44:42;04:44:43;04:44:32;04:44:39;04:44:25;04:44:57;04:44:40;04:44:01;04:44:26;04:43:48;04:44:30;04:44:53;04:44:28;04:44:11;04:44:38;04:44:30;04:45:19;04:44:26;04:44:26;04:44:43;04:45:18;04:44:00;04:44:28;04:43:48;04:44:48;04:44:54;04:43:45;04:44:41;04:44:37
