Minutes;Hours;Percentage_Visits;N_Visits;Average_Time;28/Sep;29/Sep;30/Sep;01/Oct;02/Oct;03/Oct;04/Oct;05/Oct;06/Oct;07/Oct;08/Oct;09/Oct;10/Oct;11/Oct;12/Oct;13/Oct;14/Oct;15/Oct;16/Oct;17/Oct;18/Oct;19/Oct;20/Oct;21/Oct;22/Oct;23/Oct;24/Oct;25/Oct;26/Oct;27/Oct;28/Oct;29/Oct;30/Oct;31/Oct;01/Nov;02/Nov;03/Nov;04/Nov;05/Nov;06/Nov;07/Nov;08/Nov;09/Nov;10/Nov;11/Nov;12/Nov;13/Nov;14/Nov;15/Nov;16/Nov;17/Nov;18/Nov;19/Nov;20/Nov;21/Nov;22/Nov;23/Nov;24/Nov;25/Nov;26/Nov;27/Nov;28/Nov;29/Nov;30/Nov;01/Dec;02/Dec;03/Dec;04/Dec;05/Dec;06/Dec;07/Dec;08/Dec;09/Dec;10/Dec;11/Dec;12/Dec;13/Dec;14/Dec;15/Dec;16/Dec;17/Dec;18/Dec;19/Dec;20/Dec;21/Dec;22/Dec;23/Dec;24/Dec;25/Dec;26/Dec;27/Dec
00 - 30;0,5;48,70%;1.740.915;00:01:20;00:01:25;00:01:17;00:01:21;00:01:21;00:01:27;00:01:23;00:01:21;00:01:20;00:01:17;00:01:17;00:01:20;00:01:28;00:01:21;00:01:24;00:01:21;00:01:18;00:01:18;00:01:22;00:01:27;00:01:24;00:01:22;00:01:19;00:01:20;00:01:23;00:01:19;00:01:27;00:01:19;00:01:22;00:01:20;00:01:17;00:01:16;00:01:21;00:01:27;00:01:20;00:01:23;00:01:16;00:01:16;00:01:15;00:01:15;00:01:27;00:01:19;00:01:19;00:01:17;00:01:15;00:01:17;00:01:19;00:01:27;00:01:19;00:01:22;00:01:20;00:01:15;00:01:18;00:01:20;00:01:23;00:01:20;00:01:22;00:01:21;00:01:17;00:01:13;00:01:17;00:01:24;00:01:14;00:01:22;00:01:20;00:01:17;00:01:17;00:01:20;00:01:24;00:01:22;00:01:21;00:01:20;00:01:16;00:01:17;00:01:18;00:01:25;00:01:19;00:01:20;00:01:18;00:01:15;00:01:15;00:01:16;00:01:24;00:01:19;00:01:22;00:01:17;00:01:15;00:01:18;00:01:23;00:01:24;00:01:17;00:01:26
30 - 60;1;7,60%;270.352;00:44:00;00:43:39;00:44:02;00:43:49;00:44:03;00:44:11;00:43:44;00:43:35;00:43:56;00:43:57;00:44:07;00:44:20;00:44:20;00:43:49;00:43:50;00:43:44;00:43:59;00:43:26;00:43:59;00:44:08;00:44:12;00:43:56;00:43:55;00:43:56;00:43:56;00:44:16;00:44:10;00:44:12;00:43:57;00:43:39;00:44:00;00:44:03;00:44:15;00:44:15;00:44:08;00:43:59;00:43:35;00:43:58;00:43:44;00:44:22;00:44:18;00:43:50;00:44:03;00:44:01;00:43:56;00:43:56;00:44:08;00:44:07;00:43:37;00:44:00;00:43:41;00:44:10;00:44:00;00:44:01;00:44:04;00:43:55;00:44:03;00:43:58;00:43:51;00:44:10;00:44:21;00:44:06;00:43:55;00:44:04;00:43:41;00:44:00;00:43:50;00:44:24;00:44:14;00:43:32;00:43:59;00:43:52;00:44:11;00:44:00;00:44:12;00:44:02;00:43:41;00:43:46;00:44:00;00:43:56;00:44:10;00:44:11;00:44:19;00:43:46;00:44:07;00:44:14;00:44:14;00:43:58;00:44:09;00:43:39;00:44:10;00:44:16
60 - 90;1,5;5,60%;199.871;01:14:28;01:14:35;01:14:31;01:14:31;01:14:29;01:15:07;01:14:34;01:14:25;01:13:54;01:14:13;01:14:26;01:14:30;01:14:30;01:14:22;01:14:28;01:14:12;01:14:48;01:14:18;01:14:32;01:14:18;01:14:25;01:14:26;01:14:43;01:14:39;01:14:18;01:14:43;01:14:16;01:14:29;01:14:24;01:14:21;01:14:47;01:14:21;01:14:36;01:14:25;01:14:38;01:14:35;01:14:33;01:14:13;01:14:43;01:14:11;01:14:32;01:14:37;01:14:39;01:14:41;01:14:27;01:14:07;01:14:38;01:14:40;01:14:37;01:14:16;01:14:37;01:14:13;01:14:26;01:14:23;01:14:07;01:14:30;01:14:32;01:14:31;01:14:23;01:14:26;01:14:50;01:14:21;01:13:59;01:14:21;01:14:35;01:14:10;01:14:31;01:14:32;01:14:40;01:14:27;01:14:24;01:14:29;01:14:24;01:14:38;01:14:23;01:14:31;01:14:31;01:14:33;01:14:33;01:14:42;01:14:41;01:14:29;01:14:24;01:14:26;01:14:21;01:14:35;01:14:15;01:14:28;01:14:26;01:14:19;01:14:36;01:14:26
90 - 120;2;4,70%;166.522;01:44:33;01:44:29;01:44:53;01:44:31;01:44:25;01:44:44;01:44:24;01:44:17;01:44:22;01:44:43;01:44:45;01:44:38;01:44:43;01:44:11;01:44:19;01:44:45;01:45:07;01:44:28;01:44:23;01:44:49;01:44:25;01:44:26;01:44:39;01:44:41;01:44:17;01:44:31;01:44:20;01:44:10;01:44:24;01:44:43;01:44:28;01:44:16;01:44:41;01:44:39;01:44:13;01:44:29;01:44:44;01:44:24;01:44:53;01:44:29;01:44:37;01:44:18;01:44:45;01:44:57;01:44:18;01:44:44;01:44:21;01:44:23;01:44:15;01:44:28;01:45:02;01:44:31;01:44:37;01:44:42;01:44:45;01:45:04;01:44:41;01:44:13;01:44:20;01:44:49;01:44:25;01:44:52;01:44:40;01:44:42;01:44:16;01:44:53;01:44:38;01:44:28;01:44:29;01:44:29;01:44:54;01:44:42;01:44:42;01:44:14;01:44:23;01:44:39;01:44:35;01:44:32;01:44:22;01:44:26;01:44:37;01:44:23;01:44:22;01:44:38;01:44:28;01:44:49;01:44:18;01:44:35;01:44:36;01:43:46;01:44:58;01:44:25
120 - 150;2,5;4,00%;143.156;02:14:34;02:14:54;02:14:49;02:14:47;02:14:47;02:14:38;02:14:50;02:14:22;02:15:03;02:14:28;02:14:39;02:14:24;02:14:10;02:14:17;02:14:35;02:14:07;02:14:31;02:14:28;02:14:28;02:14:34;02:14:12;02:14:40;02:14:37;02:14:29;02:14:44;02:14:37;02:14:29;02:14:33;02:14:48;02:14:49;02:14:42;02:14:41;02:14:49;02:14:55;02:14:33;02:14:32;02:14:50;02:13:59;02:14:46;02:14:38;02:14:31;02:14:41;02:14:24;02:15:15;02:14:46;02:14:15;02:14:20;02:14:25;02:14:41;02:14:24;02:14:48;02:14:32;02:14:20;02:14:36;02:14:53;02:14:27;02:14:47;02:14:35;02:14:30;02:14:45;02:14:32;02:14:22;02:15:03;02:15:04;02:14:55;02:14:39;02:14:36;02:14:33;02:14:22;02:14:10;02:14:38;02:14:36;02:14:34;02:14:32;02:14:23;02:14:26;02:14:49;02:14:08;02:14:32;02:14:48;02:14:25;02:14:41;02:14:28;02:14:45;02:14:27;02:14:09;02:14:26;02:14:21;02:14:07;02:14:58;02:14:18;02:14:12
150 - 180;3;3,40%;121.882;02:44:38;02:44:38;02:44:26;02:44:53;02:44:32;02:44:30;02:44:42;02:45:00;02:44:09;02:44:36;02:44:27;02:44:54;02:44:33;02:44:20;02:44:38;02:44:37;02:44:22;02:44:08;02:44:16;02:44:42;02:44:42;02:44:22;02:44:32;02:44:39;02:44:39;02:44:20;02:44:34;02:44:05;02:44:28;02:44:58;02:44:29;02:44:30;02:44:06;02:44:21;02:44:54;02:44:36;02:44:36;02:44:19;02:44:25;02:44:32;02:44:33;02:44:47;02:45:04;02:45:04;02:45:02;02:44:33;02:44:42;02:44:13;02:45:21;02:44:35;02:44:40;02:45:12;02:44:38;02:45:04;02:44:39;02:44:21;02:44:59;02:45:21;02:44:08;02:44:58;02:44:20;02:44:31;02:44:45;02:44:20;02:44:24;02:44:32;02:44:40;02:44:37;02:44:57;02:45:09;02:44:25;02:44:47;02:44:34;02:44:26;02:44:12;02:44:09;02:44:56;02:45:16;02:45:14;02:44:46;02:45:07;02:44:43;02:44:35;02:44:47;02:45:07;02:44:34;02:44:23;02:44:34;02:44:08;02:44:33;02:44:31;02:44:54
180 - 210;3,5;2,90%;102.554;03:14:35;03:15:05;03:14:11;03:14:13;03:14:38;03:14:35;03:14:54;03:14:23;03:14:51;03:14:20;03:14:40;03:14:33;03:14:08;03:15:14;03:14:05;03:14:12;03:14:51;03:14:05;03:14:42;03:14:35;03:14:28;03:14:31;03:14:28;03:14:39;03:14:51;03:14:19;03:14:33;03:14:42;03:14:47;03:14:25;03:14:27;03:14:40;03:14:30;03:14:28;03:14:51;03:14:53;03:15:29;03:15:13;03:14:16;03:14:43;03:13:50;03:14:23;03:14:52;03:14:22;03:15:03;03:14:28;03:14:21;03:14:42;03:15:13;03:14:17;03:14:42;03:14:50;03:14:45;03:14:23;03:14:22;03:14:18;03:14:38;03:14:10;03:14:20;03:14:52;03:14:43;03:13:52;03:14:41;03:15:02;03:14:39;03:15:06;03:14:12;03:14:31;03:13:57;03:14:53;03:14:32;03:14:57;03:14:40;03:14:29;03:14:30;03:13:49;03:14:11;03:15:04;03:14:51;03:15:06;03:14:57;03:14:36;03:14:19;03:14:19;03:14:56;03:14:42;03:14:27;03:14:41;03:14:12;03:14:50;03:14:43;03:14:11
210 - 240;4;2,50%;88.563;03:44:34;03:44:36;03:45:07;03:44:27;03:44:01;03:44:22;03:44:43;03:44:38;03:45:02;03:44:35;03:44:30;03:44:40;03:44:41;03:44:39;03:44:53;03:44:36;03:44:40;03:44:42;03:44:55;03:44:38;03:44:49;03:44:16;03:44:48;03:44:38;03:44:27;03:44:19;03:44:33;03:44:01;03:44:56;03:44:44;03:44:28;03:44:34;03:44:33;03:44:54;03:44:24;03:44:59;03:44:06;03:44:31;03:44:43;03:44:46;03:44:27;03:44:23;03:45:05;03:44:07;03:44:25;03:44:34;03:44:10;03:44:29;03:44:03;03:44:16;03:45:19;03:44:22;03:45:15;03:44:30;03:44:01;03:44:33;03:44:26;03:44:31;03:45:03;03:44:32;03:44:23;03:44:59;03:44:57;03:44:54;03:44:59;03:44:38;03:44:45;03:44:18;03:44:58;03:44:28;03:44:41;03:44:34;03:44:45;03:44:46;03:44:08;03:44:19;03:44:27;03:44:24;03:44:22;03:44:03;03:45:01;03:44:39;03:44:13;03:44:38;03:45:04;03:44:23;03:44:21;03:44:30;03:44:50;03:44:05;03:43:57;03:44:25
240 - 270;4,5;2,20%;77.094;04:14:39;04:14:46;04:15:03;04:14:20;04:15:02;04:14:15;04:14:03;04:14:18;04:14:34;04:14:34;04:14:51;04:14:06;04:14:09;04:14:53;04:14:54;04:14:31;04:15:38;04:14:26;04:15:34;04:14:17;04:14:35;04:14:27;04:14:37;04:15:04;04:14:20;04:14:13;04:14:17;04:14:48;04:14:34;04:14:46;04:14:39;04:14:36;04:14:41;04:14:40;04:14:26;04:14:41;04:14:34;04:14:28;04:14:54;04:14:30;04:14:05;04:14:34;04:14:31;04:15:40;04:15:13;04:15:08;04:15:16;04:14:11;04:14:48;04:15:03;04:15:18;04:14:40;04:14:47;04:14:35;04:14:42;04:14:07;04:13:51;04:15:03;04:14:38;04:14:30;04:14:34;04:14:13;04:15:14;04:14:39;04:15:06;04:15:10;04:14:31;04:14:32;04:14:40;04:15:03;04:14:59;04:14:55;04:15:25;04:14:56;04:14:16;04:14:46;04:14:38;04:14:39;04:14:54;04:14:31;04:14:03;04:14:09;04:14:21;04:14:53;04:14:26;04:13:57;04:14:43;04:14:21;04:14:52;04:15:04;04:13:45;04:14:27
270 - 300;5;1,90%;66.858;04:44:28;04:44:30;04:44:40;04:44:21;04:44:32;04:44:33;04:44:14;04:44:26;04:44:46;04:44:19;04:44:39;04:44:50;04:44:57;04:44:49;04:44:51;04:44:39;04:44:25;04:44:04;04:45:03;04:44:42;04:44:43;04:44:38;04:44:30;04:44:23;04:44:17;04:44:28;04:44:42;04:44:25;04:44:29;04:44:04;04:44:14;04:44:26;04:44:26;04:43:48;04:44:27;04:44:47;04:45:22;04:44:08;04:44:22;04:44:15;04:44:03;04:44:58;04:44:19;04:45:15;04:44:31;04:44:46;04:44:12;04:43:37;04:44:09;04:44:59;04:44:37;04:44:11;04:44:38;04:44:41;04:43:59;04:44:40;04:44:32;04:43:50;04:44:50;04:44:21;04:44:38;04:43:58;04:44:57;04:44:24;04:44:45;04:44:37;04:44:57;04:44:28;04:44:15;04:44:21;04:44:42;04:44:49;04:44:38;04:44:24;04:44:05;04:43:50;04:44:19;04:44:33;04:44:27;04:44:26;04:44:26;04:44:40;04:43:58;04:43:16;04:44:31;04:44:23;04:44:04;04:44:36;04:44:41;04:44:17;04:44:13;04:44:24
