"","Neighbourhood","Postcode","Year","Total %","4-11 years %","12-17 years %","18-64 years %","65-80 years %","81+ years %","4-11 years % men","4-11 years % women","12-17 years % men","12-17 years % women","18-64 years % men","18-64 years % women","65-80 years % men","65-80 years % women","81+ years % men","81+ years % women"
"1","Agniesebuurt","3032",2015,11.7,23.9,28.7,10.8,5.9,4.2,27.4,20.3,44.4,11.6,15.5,6.3,8.7,3.1,9.3,0
"2","Bergpolder","3038",2015,13.8,21.2,27.3,14.1,6.3,3.6,23,19.1,43.8,12.8,19.1,9.2,9.4,3.1,3,3.9
"3","Blijdorp","3039",2015,18.9,38.4,51.4,18.9,11.3,2.7,42.4,34.5,59.4,43,24.6,13.4,15.7,7.6,7.3,0.7
"4","Blijdorpsepolder","3041",2015,12.7,150,66.7,4.8,NA,NA,NA,100,NA,66.7,4,20,NA,NA,NA,NA
"5","Bloemhof","3073",2015,7.8,14.9,21.3,6.4,4.1,3.6,21.2,8,33.9,7.6,11.2,1.2,7.1,1.1,7.9,0
"6","Bospolder","3025",2015,8.5,15,20.1,7.3,3.6,3,22,7.9,32.4,6.4,12.3,2.1,5.6,1.4,3.6,2.6
"7","Carnisse + Zuidplein","3083",2015,8.8,17.4,20.3,8.2,7.4,1.5,22,12.2,31,9,12.5,3.2,13.1,2,4.7,0
"8","Cool","3012",2015,12,19.7,21.8,13,5,0.6,17,22.1,31.9,13.1,17.6,8,5.2,4.8,1.8,0
"9","Cs Kwartier","3013",2015,11.9,4.8,20.8,12.6,9.3,5.6,0,10,25,16.7,16.6,7.1,12.5,5.7,11.1,0
"10","Delfshaven","3024",2015,11.1,17.5,20.4,10.9,7.7,5.7,23.6,11.2,29.4,11.2,15.2,6,11.1,4,12.1,2.7
"11","Feijenoord + Kop van Zuid-Entrepot + Noordereiland","3071",2015,11.6,24.4,27.7,9.9,7.1,1.4,30.1,18.7,41.5,13.1,15.5,4.5,11.5,2.9,3.4,0
"12","Groot IJsselmonde","3078 + 3079",2015,11.9,24.2,32.4,11.1,7.8,3.3,29.6,18.8,44.8,19.8,18.3,4.4,14.3,2.8,8.8,0.7
"13","Heijplaat","3089",2015,18,50,51.3,15,8.5,0,35,76.5,66.7,26.7,21.6,8.4,11,5.8,0,0
"14","Het lage Land + Oosterflank","3067",2015,14.3,29.9,36.9,13.5,10.2,4.1,38.5,21.4,48.7,25.3,20.9,6.6,16.5,5.4,7.8,2.6
"15","Hillegersberg Noord","3054",2015,31.8,59,71.5,30.1,26.1,9,58.1,60,86.6,55.5,40.7,20.6,33.2,20.4,14.9,6.4
"16","Hillegersberg Zuid","3051",2015,26.7,46.7,64.8,24.6,17.6,6.1,49.2,44.2,73.5,56.8,33.5,16.1,26.7,7.6,14.3,1.2
"17","Hillesluis","3074",2015,8,16.5,21.2,6.5,3.3,3,24,8.6,37.2,5.3,11.4,1.3,6,0.7,8.9,0
"18","Hoek van Holland (hele gebied) + Rijnpoort","3151",2015,26.2,47.6,53.3,24.3,21.3,8.4,50,44.7,61.9,43.6,32.4,16.4,27.7,15.1,13.2,5.6
"19","Hoogvliet Noord","3193 + 3194",2015,13.9,32.3,32.7,11.7,7.9,2.6,39,25.5,43.7,22,18.8,4.5,14.8,2.6,6.9,0
"20","Hoogvliet Zuid","3191 + 3192",2015,15.6,41,37.2,14.3,8.8,2.7,44.5,37.4,49.3,24.6,22.9,6.1,16.4,2.9,6,0.7
"21","Katendrecht + Kop van Zuid + Afrikaanderwijk","3072",2015,10.2,25.1,24.8,8.1,5.2,1.6,30.9,19.2,39,10.5,13.1,3.1,9,1.3,4.9,0
"22","Kleinpolder","3042",2015,11.7,23.5,32.2,10.8,8.3,3.1,33.3,13.4,37.9,26.3,16.5,5.1,12.8,4.2,8.9,0.7
"23","Kralingen West","3061",2015,16.6,30.5,25.7,16.4,11.6,5.7,36.9,24.1,34.2,17.7,21.8,11,15.6,8,12,2.9
"24","Kralingen-Oost en Kralingse Bos","3062",2015,36.8,68.7,67.7,34.2,30.4,12,71.2,66.2,74.4,61.3,43.2,25.6,38.7,23.5,20.9,6.7
"25","Kralingseveer","3064",2015,19.8,43.5,47.9,16.5,12.2,0,42,45.1,47.6,48.1,24.9,7.7,18.5,6,0,0
"26","Liskwartier","3037",2015,14.8,25.9,30.3,14.7,7.9,3.6,28.9,22.5,36.2,24.2,21,8.7,12.8,3.7,9.2,0.8
"27","Lombardijen","3076",2015,10.8,21.9,25.9,10.1,6.9,3.2,23.4,20.3,36.4,14.6,15.9,4.3,12.1,2.4,8.6,0.7
"28","Middelland","3021",2015,12.6,24.3,30.8,11.5,5.4,1.6,27,21.8,38.6,23,15.4,7.2,8.5,2.2,1.8,1.4
"29","Molenlaankwartier","3055",2015,42.2,69.4,77.9,43.3,28,8.3,63.6,76,81.7,72.8,53.9,33.4,36.6,21,15.3,5.3
"30","Nesselande","3059",2015,29,55.1,58.5,23.1,17.8,4.8,59.4,50.6,66,50.1,32.9,13.5,26.5,10.2,7.5,3.1
"31","Nieuw Mathenesse en Schiemond","3029",2015,10.6,27.1,32.7,6.9,4.5,0,33.2,20.2,46.5,18.5,14.2,0.8,6.6,2.7,0,0
"32","Nieuwe Werk","3016",2015,24.8,47.9,31.5,23.1,35.3,0,50,45,37,25.9,28.1,17.4,38.9,30.5,0,0
"33","Nieuwe Westen","3022 + 3023",2015,10.9,20,24.6,9.6,4.3,2.9,28.6,10.9,35.9,12.1,14.6,4.4,6.7,1.7,4.8,1.6
"34","Ommoord + Zevenkamp","3068 + 3069",2015,16.5,36.4,39.5,15.4,12,4.1,39.5,33.3,47.8,30.7,23.4,8,17.9,7.1,9.2,1.6
"35","Oud Charlois","3082",2015,10.6,20.9,26.8,8.9,6.9,4.5,26.9,15,41.1,12.6,13.6,3.7,11.8,1.4,12.3,1.3
"36","Oud Crooswijk + Nieuw Crooswijk + Kralingse Bos","3034",2015,9.4,17.2,20.9,8.9,5.5,3.1,23,11.1,29.9,12.3,14.6,3.4,9.8,1.5,7.9,0.9
"37","Oud-Charlois + Waalhaven","3087",2015,9.4,23.7,17.1,8,8.2,0,35.1,10.1,33.3,0,15.4,1.5,16.2,1.3,0,0
"38","Oude Noorden","3035 + 3036",2015,9.4,19.7,20.4,8.3,4.2,4.2,23.6,15.8,31.2,9.7,12.8,3.8,6.1,2.1,8.5,0.9
"39","Oude Westen en Dijkzicht","3014 + 3015",2015,10,20.4,22.4,9.5,3.9,0.5,28,12.3,33.6,9.7,13.5,5.5,5.4,2.1,1.3,0
"40","Oud-Ijsselmonde + Beverwaard","3077",2015,14.2,30,34,11.6,9.2,4,35.9,23.7,48,20.7,19.5,4.2,15.3,3,12.2,0.5
"41","Oud-Mathenesse en Witte dorp","3028",2015,8.5,14.1,21.2,8.1,5.2,2.6,15.9,12,34.6,6.3,12.5,3,10.3,0.6,8.7,0
"42","Overschie","3043",2015,20.4,37.9,48.5,18.3,15.8,4.1,41.5,33.8,56.9,40.4,25.6,10.8,24.2,6.9,9.4,0.9
"43","Pendrecht","3086",2015,10,25.9,23.8,7.8,6.2,2.2,31.5,19.7,34.4,11.9,13,2.5,11.2,1.8,4.6,1.2
"44","Pernis + Eemhaven","3195",2015,23.6,48.3,53.8,22.4,11.3,1.7,50.2,46.4,58.2,48.2,31.8,12.9,17.4,5.9,5.1,0
"45","Prinsenland","3066",2015,18.7,40.8,52,17.1,12.4,3,47.9,33,61.7,40.3,25.4,9.3,19.8,6.2,6.9,0.8
"46","Provenierswijk","3033",2015,13.7,27.9,36.3,12.8,5.1,2.2,38.1,18.2,46.9,24.6,19.3,6.5,8.7,1.9,5.1,0
"47","Rozenburg (hele gebied)","3181",2015,26.6,48.3,56.2,24.3,18.5,6.3,54.2,42.4,64.2,48.1,32.1,16.6,24,13.4,12,2.4
"48","Rubroek","3031",2015,11.7,16.4,21.9,12.7,5.1,2.8,24.8,8.1,36.3,8.6,18.2,7.7,8.6,2.2,10.1,0
"49","'s Gravenland","3065",2015,32.9,57.8,70.9,28.1,22.1,7.7,63.4,51.5,79.2,62.5,37.7,19.3,30.3,13.6,12.9,4.1
"50","Schiebroek","3052 + 3053",2015,21.1,44.2,58.5,18.4,13.9,2.8,46.6,41.8,71.7,44.7,25.4,12.1,19.2,9.6,6.9,1.2
