# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s); 
# FHX      = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# SQ       = Zonneschijnduur (in 0.1 uur) berekend uit de globale straling (-1 voor <0.05 uur); 
# SP       = Percentage van de langst mogelijke zonneschijnduur; 
# DR       = Duur van de neerslag (in 0.1 uur); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# RHX      = Hoogste uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# 
# STN,YYYYMMDD,   FG,  FHX,   TG,   TN,   TX,   SQ,   SP,   DR,   RH,  RHX
# 
  344,20160101,   39,   70,   56,   17,   87,   40,   51,    0,    0,    0
  344,20160102,   55,   70,   69,   53,   83,    7,    9,   93,   62,   15
  344,20160103,   70,   90,   73,   48,   88,   12,   15,  117,  126,   24
  344,20160104,   44,   60,   66,   46,   79,   15,   19,   70,   52,   10
  344,20160105,   43,   50,   70,   59,   79,    0,    0,   16,    5,    1
  344,20160106,   34,   40,   54,   42,   69,    2,    3,   20,   13,    6
  344,20160107,   78,  130,   68,   57,   89,    0,    0,   68,  166,   49
  344,20160108,   56,   90,   60,   33,   82,   62,   77,    0,   -1,   -1
  344,20160109,   61,   90,   64,   35,   82,    8,   10,    7,    6,    4
  344,20160110,   72,  100,   69,   49,   89,   22,   27,   14,   25,   15
  344,20160111,   51,   70,   57,   34,   74,    2,    2,   33,   48,   36
  344,20160112,   62,   80,   65,   50,   75,    8,   10,   67,   87,   18
  344,20160113,   55,  110,   54,   25,   71,   22,   27,   49,   62,   20
  344,20160114,   63,   90,   42,   23,   58,   10,   12,  113,  175,   32
  344,20160115,   26,   50,   27,    4,   48,    2,    2,   58,   94,   24
  344,20160116,   58,  100,   35,    1,   64,   45,   54,   28,   55,   18
  344,20160117,   24,   50,   -2,  -49,   32,   71,   85,    0,    0,    0
  344,20160118,   32,   40,  -19,  -36,    5,   73,   87,    0,    0,    0
  344,20160119,   22,   40,  -10,  -68,   20,   23,   27,    4,    1,    1
  344,20160120,   15,   30,   21,  -21,   53,    7,    8,   25,   54,   18
  344,20160121,   27,   40,   -1,  -35,   13,    0,    0,    0,    0,    0
  344,20160122,   55,   70,   24,   -8,   73,   22,   26,   46,   37,   19
  344,20160123,   45,   60,   73,   40,   98,   70,   81,    0,    0,    0
  344,20160124,   52,   60,   81,   55,  107,    0,    0,   44,   29,   12
  344,20160125,   57,   90,  104,   72,  140,   67,   77,    0,    0,    0
  344,20160126,   80,  110,   91,   67,  105,   40,   46,   46,   35,   13
  344,20160127,   97,  120,  107,   83,  119,    0,    0,   95,  128,   30
  344,20160128,   61,   90,   66,   47,   91,   68,   77,    4,    1,    1
  344,20160129,  100,  120,   87,   60,  104,    0,    0,   41,   18,    7
  344,20160130,   84,  120,   75,   47,   97,    2,    2,  103,  159,   29
  344,20160131,   66,  120,   76,   52,  117,    0,    0,   67,   39,   12
  344,20160201,  120,  140,  112,  104,  118,    0,    0,    0,   -1,   -1
  344,20160202,   89,  110,   86,   64,  108,   27,   30,    4,    2,    2
  344,20160203,   56,   80,   52,   12,   69,   42,   46,   12,   12,    8
  344,20160204,   49,   90,   58,   15,   97,   10,   11,   49,   41,   11
  344,20160205,   62,   90,   90,   50,  111,    0,    0,    5,    2,    1
  344,20160206,   69,   80,   96,   83,  108,    5,    5,    0,    0,    0
  344,20160207,   94,  120,   85,   65,  125,   41,   43,   25,   21,    8
  344,20160208,  130,  160,   86,   69,   96,   25,   26,   46,   77,   25
  344,20160209,   63,  120,   55,   36,   81,    0,    0,   59,  101,   28
  344,20160210,   49,   70,   52,   24,   76,   20,   21,   56,   93,   26
  344,20160211,   32,   60,   41,    4,   80,   63,   65,    0,    0,    0
  344,20160212,   31,   40,   28,  -12,   60,   17,   17,    1,    1,    1
  344,20160213,   48,   70,   17,  -27,   44,   29,   30,    8,    1,    1
  344,20160214,   53,   80,   22,   14,   31,    0,    0,  213,   89,    9
  344,20160215,   47,   70,   26,  -28,   68,   68,   68,    0,   -1,   -1
  344,20160216,   16,   40,    7,  -44,   66,   91,   91,    0,    0,    0
  344,20160217,   25,   30,    1,  -33,   36,   91,   90,    0,    0,    0
  344,20160218,   39,   50,   15,   -4,   30,    2,    2,  101,   36,    7
  344,20160219,   44,   90,   46,  -12,   80,   78,   77,    9,    2,    1
  344,20160220,   95,  120,   86,   50,  112,    0,    0,  105,   92,   17
  344,20160221,  122,  150,  104,   92,  112,    0,    0,   27,   47,   19
  344,20160222,   55,  130,   67,   41,  109,    0,    0,   88,   72,   19
  344,20160223,   36,   70,   44,   11,   80,   57,   55,   13,   19,    9
  344,20160224,   21,   40,   26,   -9,   72,   72,   68,    6,    5,    2
  344,20160225,   31,   60,   20,  -15,   64,   49,   46,   17,   18,    6
  344,20160226,   23,   40,   30,   -6,   62,   21,   20,    0,   -1,   -1
  344,20160227,   47,   70,   28,   -6,   64,   98,   92,    0,    0,    0
  344,20160228,   48,   90,   23,  -15,   63,   90,   83,    0,    0,    0
  344,20160229,   28,   50,   19,  -24,   63,   79,   73,    0,    0,    0
  344,20160301,   64,  100,   36,  -33,   91,    0,    0,   74,   87,   21
  344,20160302,   68,  100,   54,   29,   90,   33,   30,   49,   60,   11
  344,20160303,   33,   60,   44,    1,   85,   86,   78,    0,   -1,   -1
  344,20160304,   45,   90,   29,  -20,   71,   11,   10,   87,  121,   25
  344,20160305,   22,   40,   24,  -34,   77,   58,   52,    7,    5,    3
  344,20160306,   25,   60,   31,   -4,   77,   44,   39,   19,   14,    5
  344,20160307,   21,   40,   30,   -1,   75,   91,   81,   29,   38,   19
  344,20160308,   36,   60,   43,   -1,   77,   51,   45,    5,   10,    8
  344,20160309,   71,  100,   57,   29,   93,   74,   65,    0,    0,    0
  344,20160310,   30,   50,   42,  -20,   92,  103,   90,    0,    0,    0
  344,20160311,   30,   50,   36,  -10,   91,  102,   89,    0,    0,    0
  344,20160312,   22,   40,   34,  -25,   94,  109,   94,    0,    0,    0
  344,20160313,   48,   70,   36,  -20,   96,  107,   92,    0,    0,    0
  344,20160314,   55,   70,   41,  -11,   98,  107,   91,    0,    0,    0
  344,20160315,   32,   60,   49,  -10,   76,   14,   12,    0,    0,    0
  344,20160316,   52,   80,   45,    9,   92,   86,   73,    0,    0,    0
  344,20160317,   33,   50,   50,   -9,  110,  110,   92,    0,    0,    0
  344,20160318,   34,   50,   55,   30,   72,    0,    0,    0,   -1,   -1
  344,20160319,   41,   50,   64,   53,   80,    0,    0,    0,    0,    0
  344,20160320,   35,   50,   66,   34,   96,   15,   12,   19,    9,    3
  344,20160321,   35,   50,   72,   44,   95,    0,    0,    9,    4,    2
  344,20160322,   34,   50,   72,   28,  119,   40,   33,    0,    0,    0
  344,20160323,   38,   60,   77,   28,  102,   22,   18,    3,    2,    2
  344,20160324,   44,   80,   78,   60,  101,    0,    0,   25,   11,    6
  344,20160325,   53,   80,   69,   18,  102,   35,   28,   93,   63,   12
  344,20160326,   70,   90,   98,   21,  149,   86,   69,    3,    5,    5
  344,20160327,   71,  110,   87,   60,  129,   50,   40,   77,  122,   42
  344,20160328,  112,  160,   93,   70,  118,   70,   55,   24,   39,   24
  344,20160329,   76,  110,   82,   57,  110,   67,   53,   54,   88,   29
  344,20160330,   54,   80,   82,   57,  110,   80,   63,    2,    4,    3
  344,20160331,   30,   50,   79,   35,  116,   21,   16,    5,    4,    4
  344,20160401,   26,   40,   83,   16,  130,  100,   77,    0,    0,    0
  344,20160402,   29,   50,  108,   81,  137,   12,    9,   14,    2,    1
  344,20160403,   39,   60,  149,  122,  199,   82,   63,   30,   19,   10
  344,20160404,   42,   80,  127,   90,  150,   39,   30,   25,   19,   12
  344,20160405,   38,   60,  104,   78,  126,   32,   24,    0,   -1,   -1
  344,20160406,   75,  110,   88,   70,  110,   23,   17,   34,   34,   12
  344,20160407,   55,   70,   71,   40,  102,   54,   41,   33,   76,   29
  344,20160408,   23,   60,   73,   15,  125,   74,   55,    0,   -1,   -1
  344,20160409,   41,   70,  100,   51,  149,   62,   46,   10,    8,    8
  344,20160410,   37,   60,  102,   46,  140,  117,   87,   23,   17,   11
  344,20160411,   59,   90,  132,   83,  184,   89,   65,    5,    7,    7
  344,20160412,   38,   60,  116,   63,  165,   73,   53,    0,   -1,   -1
  344,20160413,   24,   40,  105,   59,  160,   86,   63,    0,   -1,   -1
  344,20160414,   28,   50,  120,   53,  167,   88,   64,    0,   -1,   -1
  344,20160415,   40,   80,  104,   92,  134,   12,    9,   98,  120,   26
  344,20160416,   59,   90,   79,   47,  110,   54,   39,   33,   47,   28
  344,20160417,   32,   60,   61,   20,  109,  103,   74,    6,    8,    3
  344,20160418,   55,   90,   86,   16,  127,   78,   56,    0,    0,    0
  344,20160419,   37,   50,   92,   22,  130,  108,   77,    0,    0,    0
  344,20160420,   33,   60,   79,   10,  135,  131,   92,    0,    0,    0
  344,20160421,   45,   60,   99,   20,  159,  122,   86,    0,    0,    0
  344,20160422,   42,   60,   88,   63,  120,   29,   20,    0,    0,    0
  344,20160423,   46,   70,   63,   30,   99,   82,   57,    7,   14,   11
  344,20160424,   45,   80,   48,   14,   96,   86,   60,   20,   36,   12
  344,20160425,   44,   60,   51,    8,   82,   16,   11,   43,  119,   34
  344,20160426,   75,  100,   58,   25,   90,   55,   38,   30,   42,   11
  344,20160427,   53,   80,   57,   31,   91,   45,   31,   60,   86,   20
  344,20160428,   40,   60,   57,   11,   93,  108,   74,    6,    8,    7
  344,20160429,   74,  100,   83,   55,  112,   51,   35,   33,   56,   22
  344,20160430,   33,   60,   73,   13,  114,   76,   51,    0,   -1,   -1
  344,20160501,   18,   30,   77,    5,  138,  133,   90,    0,    0,    0
  344,20160502,   48,   70,  111,   22,  167,   85,   57,   16,   44,   33
  344,20160503,   35,   60,   97,   34,  129,  125,   83,    8,    5,    5
  344,20160504,   29,   40,  111,   42,  166,   94,   63,    0,    0,    0
  344,20160505,   40,   60,  136,   67,  186,  140,   93,    0,    0,    0
  344,20160506,   35,   60,  168,  103,  240,  132,   87,    0,    0,    0
  344,20160507,   31,   50,  193,  100,  265,   96,   63,    0,    0,    0
  344,20160508,   54,   70,  203,  140,  257,  135,   88,    0,    0,    0
  344,20160509,   61,   70,  202,  147,  246,  110,   72,    0,    0,    0
  344,20160510,   35,   60,  185,  153,  212,    9,    6,    0,   -1,   -1
  344,20160511,   41,   50,  196,  153,  249,   68,   44,    0,    0,    0
  344,20160512,   54,   90,  196,  118,  252,  140,   90,    0,    0,    0
  344,20160513,   55,   70,  152,   89,  221,  132,   85,    0,    0,    0
  344,20160514,   55,   70,   87,   54,  121,   78,   50,   12,   23,   12
  344,20160515,   43,   70,   82,   43,  118,   49,   31,   11,   11,    3
  344,20160516,   23,   40,   93,   42,  131,   31,   20,   26,   16,    6
  344,20160517,   43,   60,  131,   81,  175,   97,   62,    0,    0,    0
  344,20160518,   34,   50,  136,  100,  181,   25,   16,   10,   11,    9
  344,20160519,   30,   60,  131,  107,  169,   27,   17,   21,    6,    2
  344,20160520,   53,   80,  140,  117,  181,   33,   21,   20,    7,    2
